B9J08_003268	CJI97_003343
B9J08_005101	CJI97_005185
B9J08_003068	CJI97_003140
B9J08_001067	CJI97_001539
B9J08_001907	CJI97_002568
B9J08_005521	CJI97_005602
B9J08_003121	CJI97_003193
B9J08_004314	CJI97_004376
B9J08_002290	CJI97_001833
B9J08_002510	CJI97_002055
B9J08_000014	CJI97_000021
B9J08_000904	CJI97_000922
B9J08_003742	CJI97_003816
B9J08_001137	CJI97_001469
B9J08_001930	CJI97_002591
B9J08_002297	CJI97_001840
B9J08_004529	CJI97_004923
B9J08_004198	CJI97_004262
B9J08_000767	CJI97_000768
B9J08_001937	CJI97_002598
B9J08_003502	CJI97_003576
B9J08_004842	CJI97_004610
B9J08_004242	CJI97_004307
B9J08_000771	CJI97_000772
B9J08_002807	CJI97_002862
B9J08_001241	CJI97_001365
B9J08_002441	CJI97_001985
B9J08_001621	CJI97_001689
B9J08_004727	CJI97_004724
B9J08_001139	CJI97_001467
B9J08_002783	CJI97_002838
B9J08_000715	CJI97_000716
B9J08_000440	CJI97_000440
B9J08_002086	CJI97_002277
B9J08_000282	CJI97_000283
B9J08_004175	CJI97_004239
B9J08_000007	CJI97_000014
B9J08_000732	CJI97_000733
B9J08_000391	CJI97_000391
B9J08_005019	CJI97_005102
B9J08_002131	CJI97_002322
B9J08_000295	CJI97_000296
B9J08_004649	CJI97_004803
B9J08_005389	CJI97_005472
B9J08_004597	CJI97_004855
B9J08_001656	CJI97_001654
B9J08_000010	CJI97_000017
B9J08_005179	CJI97_005263
B9J08_003288	CJI97_003363
B9J08_004875	CJI97_004577
B9J08_002710	CJI97_002763
B9J08_000332	CJI97_000332
B9J08_003949	CJI97_004073
B9J08_000705	CJI97_000706
B9J08_004948	CJI97_005032
B9J08_005268	CJI97_005351
B9J08_002022	CJI97_002213
B9J08_004029	CJI97_003995
B9J08_005284	CJI97_005368
B9J08_005302	CJI97_005386
B9J08_002867	CJI97_002924
B9J08_002855	CJI97_002911
B9J08_003194	CJI97_003265
B9J08_003143	CJI97_003215
B9J08_002977	CJI97_003048
B9J08_004985	CJI97_005068
B9J08_000270	CJI97_000271
B9J08_004738	CJI97_004714
B9J08_004643	CJI97_004809
B9J08_002464	CJI97_002008
B9J08_005359	CJI97_005442
B9J08_004301	CJI97_004363
B9J08_002252	CJI97_001795
B9J08_002522	CJI97_002067
B9J08_005295	CJI97_005379
B9J08_003627	CJI97_003700
B9J08_000346	CJI97_000346
B9J08_003094	CJI97_003167
B9J08_004047	CJI97_003977
B9J08_004009	CJI97_004014
B9J08_002502	CJI97_002047
B9J08_003726	CJI97_003800
B9J08_003556	CJI97_003629
B9J08_001974	CJI97_002159
B9J08_003376	CJI97_003451
B9J08_004629	CJI97_004823
B9J08_000352	CJI97_000352
B9J08_005214	CJI97_005296
B9J08_003901	CJI97_004120
B9J08_004005	CJI97_004018
B9J08_000072	CJI97_000078
B9J08_001716	CJI97_002377
B9J08_005029	CJI97_005113
B9J08_000396	CJI97_000396
B9J08_003219	CJI97_003294
B9J08_002279	CJI97_001822
B9J08_004206	CJI97_004270
B9J08_005215	CJI97_005297
B9J08_004071	CJI97_004139
B9J08_002222	CJI97_001561
B9J08_003988	CJI97_004035
B9J08_003228	CJI97_003303
B9J08_001420	CJI97_001184
B9J08_003431	CJI97_003506
B9J08_001123	CJI97_001483
B9J08_004739	CJI97_004713
B9J08_003921	CJI97_004100
B9J08_003429	CJI97_003504
B9J08_000567	CJI97_000570
B9J08_000990	CJI97_001009
B9J08_003506	CJI97_003580
B9J08_005288	CJI97_005372
B9J08_005563	CJI97_004554
B9J08_005345	CJI97_005428
B9J08_005511	CJI97_005593
B9J08_005201	CJI97_005284
B9J08_004060	CJI97_003964
B9J08_003077	CJI97_003149
B9J08_002738	CJI97_002792
B9J08_001465	CJI97_001139
B9J08_001340	CJI97_001264
B9J08_002424	CJI97_001968
B9J08_002336	CJI97_001879
B9J08_003897	CJI97_004124
B9J08_004986	CJI97_005069
B9J08_004108	CJI97_004171
B9J08_001571	CJI97_001739
B9J08_002628	CJI97_002681
B9J08_005283	CJI97_005367
B9J08_002417	CJI97_001961
B9J08_005204	CJI97_005287
B9J08_004340	CJI97_004403
B9J08_000288	CJI97_000289
B9J08_001804	CJI97_002465
B9J08_003850	CJI97_003923
B9J08_001126	CJI97_001480
B9J08_004481	CJI97_004970
B9J08_004115	CJI97_004178
B9J08_002360	CJI97_001905
B9J08_004119	CJI97_004182
B9J08_001910	CJI97_002571
B9J08_005513	CJI97_005595
B9J08_005371	CJI97_005454
B9J08_003047	CJI97_003119
B9J08_001512	CJI97_001092
B9J08_005347	CJI97_005430
B9J08_004576	CJI97_004876
B9J08_001011	CJI97_001031
B9J08_000905	CJI97_000923
B9J08_003269	CJI97_003344
B9J08_003863	CJI97_003935
B9J08_002933	CJI97_003006
B9J08_000762	CJI97_000763
B9J08_002615	CJI97_002669
B9J08_003519	CJI97_003592
B9J08_001687	CJI97_002349
B9J08_003975	CJI97_004048
B9J08_005258	CJI97_005340
B9J08_004092	CJI97_004160
B9J08_001812	CJI97_002473
B9J08_004631	CJI97_004821
B9J08_002444	CJI97_001988
B9J08_000533	CJI97_000535
B9J08_000081	CJI97_000086
B9J08_002492	CJI97_002036
B9J08_001499	CJI97_001105
B9J08_001895	CJI97_002556
B9J08_003300	CJI97_003375
B9J08_003580	CJI97_003653
B9J08_001506	CJI97_001098
B9J08_000814	CJI97_000815
B9J08_000814	CJI97_000832
B9J08_005558	CJI97_004549
B9J08_004861	CJI97_004591
B9J08_001435	CJI97_001168
B9J08_002167	CJI97_001614
B9J08_004754	CJI97_004698
B9J08_000138	CJI97_000143
B9J08_004274	CJI97_004337
B9J08_000493	CJI97_000493
B9J08_004748	CJI97_004704
B9J08_005368	CJI97_005451
B9J08_001898	CJI97_002559
B9J08_004595	CJI97_004857
B9J08_000785	CJI97_000786
B9J08_004357	CJI97_004420
B9J08_003755	CJI97_003829
B9J08_003853	CJI97_003926
B9J08_002309	CJI97_001852
B9J08_001467	CJI97_001137
B9J08_000442	CJI97_000442
B9J08_005232	CJI97_005314
B9J08_004794	CJI97_004658
B9J08_002104	CJI97_002295
B9J08_001369	CJI97_001235
B9J08_002072	CJI97_003443
B9J08_003368	CJI97_003443
B9J08_001089	CJI97_001517
B9J08_003327	CJI97_003402
B9J08_001762	CJI97_002423
B9J08_000338	CJI97_000338
B9J08_002015	CJI97_002206
B9J08_001797	CJI97_002458
B9J08_000075	CJI97_000080
B9J08_004187	CJI97_004251
B9J08_001900	CJI97_002561
B9J08_005195	CJI97_005279
B9J08_004395	CJI97_004458
B9J08_005006	CJI97_005089
B9J08_004390	CJI97_004453
B9J08_003778	CJI97_003850
B9J08_001046	CJI97_001066
B9J08_001605	CJI97_001705
B9J08_002815	CJI97_002871
B9J08_004179	CJI97_004243
B9J08_002802	CJI97_002857
B9J08_001112	CJI97_001494
B9J08_001563	CJI97_001747
B9J08_001843	CJI97_002504
B9J08_003020	CJI97_003091
B9J08_002793	CJI97_002848
B9J08_004450	CJI97_004514
B9J08_003387	CJI97_003462
B9J08_003496	CJI97_003570
B9J08_004897	CJI97_004981
B9J08_000271	CJI97_000272
B9J08_005421	CJI97_005504
B9J08_003912	CJI97_004109
B9J08_002705	CJI97_002758
B9J08_003339	CJI97_003414
B9J08_001166	CJI97_001440
B9J08_002531	CJI97_002076
B9J08_000894	CJI97_000912
B9J08_005072	CJI97_005157
B9J08_001757	CJI97_002418
B9J08_001871	CJI97_002532
B9J08_004656	CJI97_004796
B9J08_002644	CJI97_002697
B9J08_001732	CJI97_002393
B9J08_004654	CJI97_004798
B9J08_001239	CJI97_001367
B9J08_001480	CJI97_001124
B9J08_005269	CJI97_005353
B9J08_003910	CJI97_004111
B9J08_000576	CJI97_000578
B9J08_001437	CJI97_001166
B9J08_004858	CJI97_004594
B9J08_002155	CJI97_001626
B9J08_003024	CJI97_003095
B9J08_000555	CJI97_000557
B9J08_002864	CJI97_002921
B9J08_004309	CJI97_004371
B9J08_004264	CJI97_004327
B9J08_005119	CJI97_005203
B9J08_001518	CJI97_001086
B9J08_004992	CJI97_005075
B9J08_000189	CJI97_000191
B9J08_001834	CJI97_002495
B9J08_002049	CJI97_002240
B9J08_000299	CJI97_000300
B9J08_000709	CJI97_000710
B9J08_000202	CJI97_000205
B9J08_002200	CJI97_001582
B9J08_001809	CJI97_002470
B9J08_002666	CJI97_002719
B9J08_001355	CJI97_001249
B9J08_000881	CJI97_000899
B9J08_002244	CJI97_001787
B9J08_000378	CJI97_000378
B9J08_002044	CJI97_002235
B9J08_005309	CJI97_005393
B9J08_001487	CJI97_001117
B9J08_001670	CJI97_002332
B9J08_001147	CJI97_001459
B9J08_004653	CJI97_004799
B9J08_003070	CJI97_003142
B9J08_004001	CJI97_004022
B9J08_005504	CJI97_005586
B9J08_001103	CJI97_001503
B9J08_001389	CJI97_001215
B9J08_003226	CJI97_003301
B9J08_002333	CJI97_001876
B9J08_005310	CJI97_005394
B9J08_003333	CJI97_003408
B9J08_002300	CJI97_001843
B9J08_000777	CJI97_000778
B9J08_000241	CJI97_000242
B9J08_004907	CJI97_004991
B9J08_000315	CJI97_000315
B9J08_001176	CJI97_001430
B9J08_002707	CJI97_002760
B9J08_001759	CJI97_002420
B9J08_003849	CJI97_003922
B9J08_003558	CJI97_003631
B9J08_001650	CJI97_001660
B9J08_004956	CJI97_005040
B9J08_005561	CJI97_004552
B9J08_002480	CJI97_002023
B9J08_000388	CJI97_000388
B9J08_004215	CJI97_004280
B9J08_003700	CJI97_003775
B9J08_001771	CJI97_002432
B9J08_004753	CJI97_004699
B9J08_001412	CJI97_001192
B9J08_005123	CJI97_005207
B9J08_003530	CJI97_003603
B9J08_003088	CJI97_003161
B9J08_000747	CJI97_000748
B9J08_000484	CJI97_000484
B9J08_001906	CJI97_002567
B9J08_002806	CJI97_002861
B9J08_004403	CJI97_004466
B9J08_004967	CJI97_005050
B9J08_002822	CJI97_002878
B9J08_004223	CJI97_004288
B9J08_004477	CJI97_004974
B9J08_005524	CJI97_005605
B9J08_005377	CJI97_005460
B9J08_000365	CJI97_000365
B9J08_004904	CJI97_004988
B9J08_005046	CJI97_005130
B9J08_004131	CJI97_004194
B9J08_003768	CJI97_003840
B9J08_001970	CJI97_002155
B9J08_002409	CJI97_001953
B9J08_002739	CJI97_002793
B9J08_000593	CJI97_000595
B9J08_002517	CJI97_002062
B9J08_004545	CJI97_004907
B9J08_003169	CJI97_003241
B9J08_002937	CJI97_003010
B9J08_001648	CJI97_001662
B9J08_000272	CJI97_000273
B9J08_001053	CJI97_001073
B9J08_001751	CJI97_002412
B9J08_001485	CJI97_001119
B9J08_004348	CJI97_004411
B9J08_002257	CJI97_001800
B9J08_002344	CJI97_001887
B9J08_001972	CJI97_002157
B9J08_004755	CJI97_004697
B9J08_005465	CJI97_005548
B9J08_000025	CJI97_000032
B9J08_003388	CJI97_003463
B9J08_004211	CJI97_004275
B9J08_003825	CJI97_003898
B9J08_005546	CJI97_004536
B9J08_003774	CJI97_003846
B9J08_001281	CJI97_001325
B9J08_001559	CJI97_001751
B9J08_002261	CJI97_001804
B9J08_003157	CJI97_003229
B9J08_005556	CJI97_004547
B9J08_003235	CJI97_003310
B9J08_000766	CJI97_000767
B9J08_004993	CJI97_005076
B9J08_004035	CJI97_003989
B9J08_000780	CJI97_000781
B9J08_003090	CJI97_003163
B9J08_003026	CJI97_003097
B9J08_004666	CJI97_004786
B9J08_005581	CJI97_003275
B9J08_000424	CJI97_000424
B9J08_004010	CJI97_004013
B9J08_004033	CJI97_003991
B9J08_001540	CJI97_001769
B9J08_003733	CJI97_003807
B9J08_003438	CJI97_003512
B9J08_005105	CJI97_005189
B9J08_005351	CJI97_005434
B9J08_003913	CJI97_004108
B9J08_000928	CJI97_000946
B9J08_001256	CJI97_001350
B9J08_000962	CJI97_000981
B9J08_001957	CJI97_002142
B9J08_000726	CJI97_000727
B9J08_001005	CJI97_001025
B9J08_000234	CJI97_000235
B9J08_002645	CJI97_002698
B9J08_002649	CJI97_002702
B9J08_001269	CJI97_001337
B9J08_000798	CJI97_000799
B9J08_000517	CJI97_000519
B9J08_001104	CJI97_001502
B9J08_004823	CJI97_004629
B9J08_000065	CJI97_000071
B9J08_005259	CJI97_005342
B9J08_000524	CJI97_000526
B9J08_003120	CJI97_003192
B9J08_002166	CJI97_001615
B9J08_002384	CJI97_001929
B9J08_003391	CJI97_003466
B9J08_001421	CJI97_001183
B9J08_003257	CJI97_003332
B9J08_002304	CJI97_001847
B9J08_001304	CJI97_001301
B9J08_005164	CJI97_005248
B9J08_004923	CJI97_005007
B9J08_001769	CJI97_002430
B9J08_001071	CJI97_001535
B9J08_003420	CJI97_003495
B9J08_001758	CJI97_002419
B9J08_002997	CJI97_003068
B9J08_001994	CJI97_002185
B9J08_005108	CJI97_005192
B9J08_002090	CJI97_002281
B9J08_001701	CJI97_002363
B9J08_002265	CJI97_001808
B9J08_003688	CJI97_003763
B9J08_001150	CJI97_001456
B9J08_003741	CJI97_003815
B9J08_005042	CJI97_005126
B9J08_000459	CJI97_000459
B9J08_001737	CJI97_002398
B9J08_002549	CJI97_002094
B9J08_002905	CJI97_002979
B9J08_003858	CJI97_003931
B9J08_000395	CJI97_000395
B9J08_000718	CJI97_000719
B9J08_001508	CJI97_001096
B9J08_003787	CJI97_003859
B9J08_000004	CJI97_000011
B9J08_002463	CJI97_002007
B9J08_001336	CJI97_001268
B9J08_000248	CJI97_000249
B9J08_003355	CJI97_003430
B9J08_002472	CJI97_002015
B9J08_002169	CJI97_001612
B9J08_000057	CJI97_000063
B9J08_002830	CJI97_002885
B9J08_003453	CJI97_003527
B9J08_004345	CJI97_004408
B9J08_000782	CJI97_000783
B9J08_004750	CJI97_004702
B9J08_000887	CJI97_000905
B9J08_003225	CJI97_003300
B9J08_001554	CJI97_001756
B9J08_002731	CJI97_002784
B9J08_004936	CJI97_005020
B9J08_004937	CJI97_005021
B9J08_002659	CJI97_002712
B9J08_001553	CJI97_001757
B9J08_003986	CJI97_004037
B9J08_004938	CJI97_005022
B9J08_000927	CJI97_000945
B9J08_003719	CJI97_003793
B9J08_002967	CJI97_003038
B9J08_000759	CJI97_000760
B9J08_005125	CJI97_005209
B9J08_004983	CJI97_005066
B9J08_003839	CJI97_003912
B9J08_002572	CJI97_002116
B9J08_001498	CJI97_001106
B9J08_000480	CJI97_000480
B9J08_003290	CJI97_003365
B9J08_004835	CJI97_004617
B9J08_004927	CJI97_005011
B9J08_002136	CJI97_002327
B9J08_005062	CJI97_005146
B9J08_002881	CJI97_002937
B9J08_003766	CJI97_003838
B9J08_001371	CJI97_001233
B9J08_003658	CJI97_003733
B9J08_004601	CJI97_004851
B9J08_005304	CJI97_005388
B9J08_002356	CJI97_001901
B9J08_004543	CJI97_004909
B9J08_001833	CJI97_002494
B9J08_001503	CJI97_001101
B9J08_002598	CJI97_002652
B9J08_004869	CJI97_004583
B9J08_002034	CJI97_002225
B9J08_002819	CJI97_002875
B9J08_000784	CJI97_000785
B9J08_003677	CJI97_003752
B9J08_002724	CJI97_002777
B9J08_004658	CJI97_004794
B9J08_002176	CJI97_001606
B9J08_003197	CJI97_003268
B9J08_005237	CJI97_005319
B9J08_004411	CJI97_004474
B9J08_000922	CJI97_000940
B9J08_001124	CJI97_001482
B9J08_005526	CJI97_005607
B9J08_001776	CJI97_002437
B9J08_004954	CJI97_005038
B9J08_001027	CJI97_001047
B9J08_004917	CJI97_005001
B9J08_003166	CJI97_003238
B9J08_003572	CJI97_003645
B9J08_004720	CJI97_004731
B9J08_005498	CJI97_005580
B9J08_004408	CJI97_004471
B9J08_001979	CJI97_002164
B9J08_002916	CJI97_002990
B9J08_000379	CJI97_000379
B9J08_000444	CJI97_000444
B9J08_000656	CJI97_000658
B9J08_004120	CJI97_004183
B9J08_001824	CJI97_002485
B9J08_000951	CJI97_000970
B9J08_004352	CJI97_004415
B9J08_001837	CJI97_002498
B9J08_005323	CJI97_005406
B9J08_005192	CJI97_005276
B9J08_005470	CJI97_005553
B9J08_000966	CJI97_000985
B9J08_003038	CJI97_003110
B9J08_001927	CJI97_002588
B9J08_000971	CJI97_000990
B9J08_004310	CJI97_004372
B9J08_002254	CJI97_001797
B9J08_002404	CJI97_001948
B9J08_001638	CJI97_001672
B9J08_005360	CJI97_005443
B9J08_000113	CJI97_000118
B9J08_002037	CJI97_002228
B9J08_002741	CJI97_002795
B9J08_000490	CJI97_000490
B9J08_005065	CJI97_005149
B9J08_001316	CJI97_001288
B9J08_000433	CJI97_000433
B9J08_001148	CJI97_001458
B9J08_002285	CJI97_001828
B9J08_004441	CJI97_004505
B9J08_005402	CJI97_005485
B9J08_003527	CJI97_003600
B9J08_001593	CJI97_001717
B9J08_000380	CJI97_000380
B9J08_001203	CJI97_001403
B9J08_002725	CJI97_002778
B9J08_003648	CJI97_003723
B9J08_003812	CJI97_003884
B9J08_000965	CJI97_000984
B9J08_001440	CJI97_001164
B9J08_000310	CJI97_000310
B9J08_003107	CJI97_003180
B9J08_000867	CJI97_000885
B9J08_001220	CJI97_001386
B9J08_004088	CJI97_004156
B9J08_002702	CJI97_002755
B9J08_003280	CJI97_003355
B9J08_000273	CJI97_000274
B9J08_001612	CJI97_001698
B9J08_005067	CJI97_005152
B9J08_001337	CJI97_001267
B9J08_004209	CJI97_004273
B9J08_003246	CJI97_003321
B9J08_000274	CJI97_000275
B9J08_004125	CJI97_004188
B9J08_001048	CJI97_001068
B9J08_003802	CJI97_003874
B9J08_000182	CJI97_000184
B9J08_003385	CJI97_003460
B9J08_001631	CJI97_001679
B9J08_001365	CJI97_001239
B9J08_003616	CJI97_003689
B9J08_001657	CJI97_001653
B9J08_000458	CJI97_000458
B9J08_003170	CJI97_003242
B9J08_001867	CJI97_002528
B9J08_002323	CJI97_001866
B9J08_005081	CJI97_005166
B9J08_002985	CJI97_003056
B9J08_000947	CJI97_000966
B9J08_001896	CJI97_002557
B9J08_001747	CJI97_002408
B9J08_004854	CJI97_004598
B9J08_005292	CJI97_005376
B9J08_004501	CJI97_004951
B9J08_000996	CJI97_001015
B9J08_002818	CJI97_002874
B9J08_003976	CJI97_004047
B9J08_003125	CJI97_003197
B9J08_000963	CJI97_000982
B9J08_000450	CJI97_000450
B9J08_000452	CJI97_000452
B9J08_005363	CJI97_005446
B9J08_002532	CJI97_002077
B9J08_002432	CJI97_001976
B9J08_004316	CJI97_004378
B9J08_001677	CJI97_002339
B9J08_000147	CJI97_000152
B9J08_004111	CJI97_004174
B9J08_003401	CJI97_003476
B9J08_004362	CJI97_004425
B9J08_002891	CJI97_002947
B9J08_003974	CJI97_004049
B9J08_003451	CJI97_003525
B9J08_001152	CJI97_001454
B9J08_004069	CJI97_004137
B9J08_003315	CJI97_003390
B9J08_000773	CJI97_000774
B9J08_004031	CJI97_003993
B9J08_000364	CJI97_000364
B9J08_002832	CJI97_002887
B9J08_004566	CJI97_004886
B9J08_004660	CJI97_004792
B9J08_004183	CJI97_004247
B9J08_002403	CJI97_001947
B9J08_005349	CJI97_005432
B9J08_005275	CJI97_005359
B9J08_003220	CJI97_003295
B9J08_000074	CJI97_000079
B9J08_000724	CJI97_000725
B9J08_003867	CJI97_003939
