nodeName	altName	nodeAttr[nodesPresent, ]
MSTRG.1226.1|963|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00408|375	NA	coral1
CTRG_00410|2385	NA	coral1
MSTRG.1299.1|448|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00416|402	NA	coral1
CTRG_00420|831	NA	coral1
MSTRG.1319.1|1164|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
MSTRG.1321.1|1790|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00451|1242	NA	coral1
CTRG_00452|669	NA	coral1
CTRG_00480|2892	NA	coral1
MSTRG.1464.1|798|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00511|3717	NA	coral1
CTRG_00512|1596	NA	coral1
CTRG_00513|1521	NA	coral1
CTRG_00514|1446	NA	coral1
MSTRG.1520.1|2006|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00550|903	NA	coral1
MSTRG.1571.1|497|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00599|1047	NA	coral1
CTRG_00604|1134	NA	coral1
CTRG_00639|726	NA	coral1
CTRG_00653|861	NA	coral1
MSTRG.1713.1|2454|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
MSTRG.1723.1|1365|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00655|2253	NA	coral1
CTRG_00656|3927	NA	coral1
MSTRG.1769.1|1000|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00697|885	NA	coral1
MSTRG.1815.1|745|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00724|525	NA	coral1
CTRG_00728|3804	NA	coral1
CTRG_00741|1689	NA	coral1
CTRG_00753|1095	NA	coral1
CTRG_00754|2604	NA	coral1
CTRG_00758|1680	NA	coral1
CTRG_00771|1074	NA	coral1
CTRG_00782|1158	NA	coral1
CTRG_00806|4524	NA	coral1
MSTRG.2002.1|1558|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00849|3117	NA	coral1
CTRG_00889|1701	NA	coral1
CTRG_00910|2919	NA	coral1
CTRG_00914|714	NA	coral1
MSTRG.2125.1|364|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
MSTRG.2127.1|275|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00938|2292	NA	coral1
CTRG_00967|1446	NA	coral1
CTRG_00984|2145	NA	coral1
CTRG_01019|2112	NA	coral1
CTRG_01046|2400	NA	coral1
CTRG_01071|1551	NA	coral1
CTRG_01095|732	NA	coral1
CTRG_01107|2874	NA	coral1
CTRG_01132|681	NA	coral1
MSTRG.2463.1|788|u|NA|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_01136|1530	NA	coral1
CTRG_01163|2226	NA	coral1
CTRG_01179|867	NA	coral1
CTRG_01194|1128	NA	coral1
CTRG_01203|1410	NA	coral1
CTRG_01211|1959	NA	coral1
MSTRG.2671.1|959|u|NA|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_01272|4887	NA	coral1
MSTRG.2692.1|1308|u|NA|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_01283|2751	NA	coral1
CTRG_01291|2928	NA	coral1
CTRG_01303|2373	NA	coral1
CTRG_01350|2103	NA	coral1
CTRG_01424|3285	NA	coral1
CTRG_01429|8046	NA	coral1
CTRG_01441|3087	NA	coral1
CTRG_01589|2919	NA	coral1
CTRG_01604|1224	NA	coral1
CTRG_01671|2220	NA	coral1
CTRG_01697|1248	NA	coral1
CTRG_01751|1008	NA	coral1
CTRG_01757|684	NA	coral1
CTRG_01775|1311	NA	coral1
CTRG_01804|6612	NA	coral1
CTRG_01805|1047	NA	coral1
CTRG_01807|978	NA	coral1
CTRG_01837|1176	NA	coral1
MSTRG.3509.1|261|u|NA|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_01954|1524	NA	coral1
CTRG_01958|750	NA	coral1
MSTRG.3705.1|711|u|NA|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_01992|2889	NA	coral1
CTRG_01993|1431	NA	coral1
CTRG_02052|372	NA	coral1
CTRG_02061|435	NA	coral1
CTRG_02076|3264	NA	coral1
CTRG_02152|2670	NA	coral1
CTRG_02153|1737	NA	coral1
CTRG_02158|2061	NA	coral1
CTRG_02167|489	NA	coral1
CTRG_02171|384	NA	coral1
CTRG_02264|2529	NA	coral1
MSTRG.4154.1|922|u|NA|Supercontig_3.3_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_02282|2565	NA	coral1
CTRG_02295|2382	NA	coral1
CTRG_02296|1239	NA	coral1
CTRG_02354|2247	NA	coral1
MSTRG.4306.1|394|u|NA|Supercontig_3.3_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_02362|2184	NA	coral1
MSTRG.4334.1|517|u|NA|Supercontig_3.3_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_02403|1890	NA	coral1
CTRG_02404|1014	NA	coral1
CTRG_02427|1080	NA	coral1
CTRG_02453|1209	NA	coral1
CTRG_02468|1068	NA	coral1
MSTRG.4553.1|2516|u|NA|Supercontig_3.3_C_tropicalis_MYA-3404|ctrop	NA	coral1
MSTRG.4554.1|1242|u|NA|Supercontig_3.3_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_02531|1326	NA	coral1
CTRG_02535|1038	NA	coral1
CTRG_02539|399	NA	coral1
CTRG_02551|498	NA	coral1
CTRG_02571|897	NA	coral1
CTRG_02589|1365	NA	coral1
CTRG_02590|393	NA	coral1
CTRG_02592|1974	NA	coral1
MSTRG.4757.1|1094|u|NA|Supercontig_3.3_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_02662|2862	NA	coral1
CTRG_02696|3165	NA	coral1
CTRG_02701|1071	NA	coral1
CTRG_02708|1071	NA	coral1
CTRG_02740|1125	NA	coral1
CTRG_02761|690	NA	coral1
MSTRG.5093.1|916|u|NA|Supercontig_3.3_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_02863|3237	NA	coral1
CTRG_02872|1935	NA	coral1
CTRG_02914|1182	NA	coral1
CTRG_02941|807	NA	coral1
CTRG_02983|1173	NA	coral1
CTRG_03024|405	NA	coral1
CTRG_03025|1605	NA	coral1
CTRG_03036|1191	NA	coral1
CTRG_03054|279	NA	coral1
CTRG_03055|1101	NA	coral1
CTRG_03112|2841	NA	coral1
MSTRG.5520.1|1050|u|NA|Supercontig_3.4_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_03154|939	NA	coral1
CTRG_03176|3642	NA	coral1
CTRG_03181|1854	NA	coral1
CTRG_03188|591	NA	coral1
CTRG_03263|1857	NA	coral1
CTRG_03275|1938	NA	coral1
MSTRG.5786.1|476|u|NA|Supercontig_3.4_C_tropicalis_MYA-3404|ctrop	NA	coral1
MSTRG.5787.1|450|u|NA|Supercontig_3.4_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_03329|1455	NA	coral1
CTRG_03366|651	NA	coral1
CTRG_03464|1485	NA	coral1
CTRG_03520|468	NA	coral1
CTRG_03544|1428	NA	coral1
CTRG_03559|2448	NA	coral1
CTRG_03565|744	NA	coral1
CTRG_03587|900	NA	coral1
CTRG_03590|792	NA	coral1
CTRG_03591|510	NA	coral1
CTRG_03635|1755	NA	coral1
CTRG_03636|2739	NA	coral1
MSTRG.6340.1|279|u|NA|Supercontig_3.4_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_03638|2385	NA	coral1
CTRG_03681|3384	NA	coral1
CTRG_03724|990	NA	coral1
CTRG_03770|363	NA	coral1
MSTRG.6541.1|1255|u|NA|Supercontig_3.5_C_tropicalis_MYA-3404|ctrop	NA	coral1
MSTRG.6542.1|442|u|NA|Supercontig_3.5_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_03771|1176	NA	coral1
CTRG_03775|1896	NA	coral1
CTRG_03778|1770	NA	coral1
CTRG_03784|2034	NA	coral1
CTRG_03786|2892	NA	coral1
CTRG_03807|429	NA	coral1
MSTRG.6614.1|1005|u|NA|Supercontig_3.5_C_tropicalis_MYA-3404|ctrop	NA	coral1
MSTRG.6625.1|273|u|NA|Supercontig_3.5_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_03834|4356	NA	coral1
CTRG_03841|1482	NA	coral1
CTRG_03878|1668	NA	coral1
CTRG_03884|3816	NA	coral1
CTRG_03907|9339	NA	coral1
CTRG_03922|1293	NA	coral1
CTRG_03923|2868	NA	coral1
CTRG_03929|3183	NA	coral1
CTRG_03942|1659	NA	coral1
CTRG_03949|4311	NA	coral1
CTRG_03966|3108	NA	coral1
CTRG_03984|1485	NA	coral1
CTRG_04055|654	NA	coral1
CTRG_04112|2034	NA	coral1
CTRG_04114|1131	NA	coral1
CTRG_04161|1527	NA	coral1
CTRG_04197|2826	NA	coral1
CTRG_04200|2181	NA	coral1
CTRG_04220|567	NA	coral1
CTRG_04230|1341	NA	coral1
CTRG_04234|6378	NA	coral1
CTRG_04238|1440	NA	coral1
CTRG_04250|1854	NA	coral1
CTRG_04284|732	NA	coral1
MSTRG.7361.1|953|u|NA|Supercontig_3.6_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_04297|1296	NA	coral1
CTRG_04310|1020	NA	coral1
CTRG_04366|1839	NA	coral1
CTRG_04382|2568	NA	coral1
CTRG_04389|924	NA	coral1
CTRG_04441|990	NA	coral1
CTRG_04453|3114	NA	coral1
CTRG_04486|2214	NA	coral1
CTRG_04490|2601	NA	coral1
CTRG_04525|1173	NA	coral1
CTRG_04528|951	NA	coral1
CTRG_04535|2217	NA	coral1
CTRG_04545|2412	NA	coral1
CTRG_04576|828	NA	coral1
CTRG_04598|3846	NA	coral1
CTRG_04622|1215	NA	coral1
CTRG_04738|1131	NA	coral1
CTRG_04760|1416	NA	coral1
CTRG_04761|870	NA	coral1
MSTRG.8078.1|666|u|NA|Supercontig_3.6_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_04769|1875	NA	coral1
CTRG_04799|1986	NA	coral1
CTRG_04804|2028	NA	coral1
CTRG_04811|771	NA	coral1
CTRG_04845|915	NA	coral1
CTRG_04851|879	NA	coral1
CTRG_04861|5133	NA	coral1
CTRG_04906|729	NA	coral1
CTRG_04907|1380	NA	coral1
CTRG_04911|840	NA	coral1
CTRG_04916|2760	NA	coral1
CTRG_04926|489	NA	coral1
CTRG_04941|1842	NA	coral1
CTRG_04979|1038	NA	coral1
MSTRG.8407.1|1237|u|NA|Supercontig_3.7_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_05046|1086	NA	coral1
MSTRG.8521.1|408|u|NA|Supercontig_3.7_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_05059|1452	NA	coral1
CTRG_05078|585	NA	coral1
CTRG_05109|840	NA	coral1
CTRG_05132|1311	NA	coral1
CTRG_05138|1359	NA	coral1
CTRG_05187|534	NA	coral1
CTRG_05196|465	NA	coral1
CTRG_05218|4185	NA	coral1
CTRG_05237|1632	NA	coral1
CTRG_05259|1044	NA	coral1
CTRG_05282|1053	NA	coral1
CTRG_05284|1716	NA	coral1
MSTRG.8883.1|508|u|NA|Supercontig_3.8_C_tropicalis_MYA-3404|ctrop	NA	coral1
MSTRG.8884.1|848|u|NA|Supercontig_3.8_C_tropicalis_MYA-3404|ctrop	NA	coral1
MSTRG.8886.1|959|u|NA|Supercontig_3.8_C_tropicalis_MYA-3404|ctrop	NA	coral1
MSTRG.8910.1|591|u|NA|Supercontig_3.8_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_05304|1296	NA	coral1
CTRG_05354|1110	NA	coral1
MSTRG.9014.1|2647|u|NA|Supercontig_3.8_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_05373|2085	NA	coral1
MSTRG.9115.1|698|u|NA|Supercontig_3.8_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_05504|2217	NA	coral1
MSTRG.9273.1|741|u|NA|Supercontig_3.8_C_tropicalis_MYA-3404|ctrop	NA	coral1
MSTRG.9276.1|715|u|NA|Supercontig_3.8_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_05541|573	NA	coral1
MSTRG.9380.1|1925|u|NA|Supercontig_3.9_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_05598|2286	NA	coral1
MSTRG.9405.1|771|u|NA|Supercontig_3.9_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_05607|822	NA	coral1
CTRG_05625|1557	NA	coral1
MSTRG.9444.1|902|u|NA|Supercontig_3.9_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_05681|1770	NA	coral1
CTRG_05706|1005	NA	coral1
MSTRG.9559.1|282|u|NA|Supercontig_3.9_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_05730|807	NA	coral1
CTRG_05739|1401	NA	coral1
CTRG_05750|2433	NA	coral1
CTRG_05759|4392	NA	coral1
CTRG_05763|1572	NA	coral1
