1 2 A0C1 A0C1reseq A0C2 A0C2reseq e4 e5 e6 3 3reseq 4 5a 6 7 8 9 10 11 12 13 14 15 16 59 e7 e8 e9 17 18 A24C1 A24C1reseq A24C2 A24C2reseq e1 e2 e3
C1_00060W_A|1539 194 1693 4613 15385 11467 25570 16858 4905 4207 11524 15493 9559 1514 4322 10403 11279 11619 8948 4594 10036 5944 5553 3089 4211 8778 561 425 588 1802 1236 3590 3719 7401 3318 1377 11714 12580
MSTRG.18.1|214|x|C1_00060W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 1 2 0 1 0 0 2 1 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0
C1_00070W_A|1140 99 758 2317 7798 4836 11237 11220 2793 2057 10485 13543 8011 1337 2625 4197 4004 7201 5101 2888 5761 3974 3228 1532 2362 4899 551 498 707 1112 644 2050 2274 3937 1923 1819 9797 11530
C1_00080C_A|852 2 52 243 888 449 1110 1982 499 441 857 1143 812 185 333 464 490 881 580 439 761 518 1513 718 1065 3328 85 50 94 360 209 922 1055 1774 810 238 1806 2454
C1_00090W_A|522 2 17 18 98 61 178 98 39 20 124 156 80 20 26 73 72 114 89 73 121 77 131 106 126 270 7 5 5 62 43 100 139 252 128 25 146 167
MSTRG.21.1|619|x|C1_00100C_A-T|Ca22chr1A_C_albicans_SC5314|calb 4 17 37 168 87 206 99 46 31 212 289 146 26 67 132 153 173 177 137 225 135 205 107 168 381 8 1 9 89 62 179 186 310 157 23 149 272
C1_00100C_A|729 21 73 222 714 511 1231 838 187 106 487 719 381 51 95 215 241 266 261 84 183 97 149 82 86 239 32 39 52 54 52 141 131 303 142 85 612 880
C1_00110W_A|1623 147 1183 4383 14589 8681 19833 19155 4549 3532 13318 17977 9902 1628 3430 4780 5081 8266 5821 2589 5495 3403 3838 1703 2894 6271 609 555 787 1305 784 2868 3082 5111 2355 2015 13069 15654
C1_00120C_A|681 18 169 737 2663 1426 3040 5204 1161 1129 2656 3672 2000 507 941 1146 1286 2815 1802 796 1418 1152 1303 549 892 2556 155 159 204 397 261 1021 1198 1838 778 786 3624 4766
C1_00130C_A|2100 38 265 1168 3903 1757 3979 5300 1213 1087 2078 2836 1529 294 971 1157 1323 1731 967 930 1490 1032 1544 762 1050 2996 332 242 322 519 357 1340 1486 2436 1116 782 5040 5216
MSTRG.26.1|646|x|C1_00140W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 1 17 38 17 37 93 14 19 20 28 18 12 7 10 9 18 45 17 12 14 24 21 25 111 7 4 5 17 5 70 63 81 44 14 79 80
MSTRG.27.1|416|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 0 2 9 0 0 3 0 0 0 2 1 0 1 0 1 2 2 0 0 0 4 0 0 0 0 0 0 1 3 1 0 0 0 0 0 0
C1_00140W_A|3057 95 677 2871 9597 4852 11006 6698 1676 1218 7641 10234 5637 1549 2204 3053 3246 5668 5615 2311 4012 2740 3785 2007 2485 7257 633 489 755 2066 1197 5089 5444 8864 4110 1694 10986 11277
C1_00150C_A|1869 3 19 112 319 172 374 1376 301 263 679 865 608 171 235 437 438 1043 694 296 480 331 1048 515 677 2166 160 115 187 413 232 968 1084 1840 842 348 2428 2312
MSTRG.30.1|1191|x|C1_00150C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 2 1 1 4 0 1 0 2 0 0 0 0 0 0 0 0 0 2 1 0 0 4 0 0 0 2 0 2 1 0 0 0 1 0
C1_00160C_A|1203 195 1104 7723 25745 9975 22644 25814 4959 3935 15193 20853 18653 5850 6288 3158 3675 6909 5846 1188 3194 2642 4367 1466 3130 9253 1642 1194 2008 795 490 2411 2565 4360 2103 5092 30564 36738
MSTRG.33.1|339|x|C1_00170W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 3 0 0 0 3 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
C1_00170W_A|1740 24 156 825 2702 1312 2878 3269 686 528 2091 2745 1420 317 180 334 305 1173 946 39 114 73 48 20 37 82 4 6 13 40 26 51 56 165 84 177 556 777
C1_00180W_A|603 1718 9732 61678 207475 65501 149835 222421 41753 35373 128198 182810 132865 60019 33436 24640 25369 69645 85339 10983 18054 18355 20951 7789 11780 45674 4709 3709 5419 3912 2225 9129 9818 15073 7023 15330 66977 67473
MSTRG.36.1|366|x|C1_00180W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 1 4 14 7 5 26 7 1 6 7 13 4 5 0 2 9 3 0 0 2 4 3 5 0 0 1 0 1 2 1 5 2 0 1 11 1
C1_00190C_A|639 0 0 1 0 4 6 24 19 43 0 3 1 5 11 23 16 3 5 334 514 512 2138 1163 1521 4108 124 91 139 571 224 1006 1090 1377 648 470 2594 2352
MSTRG.38.1|978|x|C1_00190C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 2 7 2 4 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 24 13 13 28 2 1 0 4 2 15 14 11 3 0 5 1
C1_00200C_A|348 3 8 68 222 68 139 401 100 117 120 189 99 39 86 38 48 80 110 217 282 328 415 170 129 967 74 37 43 106 44 347 356 402 181 203 725 854
MSTRG.41.1|319|x|C1_00210C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 2 5 2 0 4 1 3 1 1 1 3 1 0 0 4 6 3 1 2 9 0 0 1 0 1 0 1 1 1 1 0 0 0 4 19
C1_00210C_A|1155 179 1131 6041 19898 7536 16988 19040 4076 4065 10714 14518 9303 4079 4912 3564 3895 7903 6181 1787 3992 3261 4008 1450 2455 8198 822 661 1050 1009 603 2512 2565 4262 1959 2692 14300 15557
MSTRG.43.1|1100|x|C1_00210C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 1 0 2 12 14 3 0 1 6 2 0 2 0 1 1 3 0 0 4 0 1 1 0 0 0 2 2 1 7 2 0 0 1 15 29
MSTRG.44.1|1545|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 4 2 0 0 1 1 2 2 1 0 0 1 0 1 1 4 3 0 0 0 0 0 0 0 2 3 5 6 0 0 0
MSTRG.45.1|729|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 9 0 0 0 0 0 0 0 3 0 2 0 0
C1_00220W_A|1635 1 29 153 623 225 541 2476 580 579 690 912 693 260 313 229 246 603 610 740 1075 1153 879 422 462 1736 117 84 90 1090 555 1796 1893 3305 1534 576 2089 2180
MSTRG.47.1|1097|x|C1_00220W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 6 24 52 73 126 124 15 17 38 39 30 7 15 18 16 32 35 8 15 6 28 11 24 62 2 5 8 20 6 48 50 57 29 20 160 181
MSTRG.48.1|958|x|C1_00230C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 3 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0
C1_00230C_A|1287 9 108 685 2378 993 2261 2488 523 422 861 1128 769 225 407 526 566 887 606 356 670 457 864 411 587 1904 195 155 220 292 161 838 861 1498 656 559 3941 4292
C1_00240C_A|73 0 0 0 0 0 0 4 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 3 2 0 0 0
MSTRG.53.1|518|x|C1_00270W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 2 0 0 0 2 1 0 2 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0
C1_00270W_A|900 3 33 251 746 353 770 30481 6634 5947 8691 12044 5545 1630 5133 7511 8352 19604 19023 681 1171 906 1222 585 762 2208 286 187 254 631 290 3383 3516 4070 1865 896 4739 5621
C1_00280C_A|131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C1_00290W_A|1962 9 63 317 1162 387 832 78578 17754 16660 19605 26984 12884 4216 13725 17956 19288 54183 58107 3747 4967 4490 13312 5072 6825 26906 1770 1391 1455 3199 1676 7932 8731 11665 5446 5631 26073 27833
MSTRG.56.1|1241|x|C1_00290W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 3 1 11 4 4 39 7 3 4 2 6 2 2 4 2 12 9 1 2 2 15 2 2 13 5 7 0 1 2 13 12 23 12 5 26 76
C1_00310W_A|1557 14 151 488 1584 677 1562 15716 3408 2835 4020 5552 3136 1176 2621 3384 3639 5258 4331 1271 2973 2129 2095 965 1501 3385 296 215 288 1082 608 1974 2126 3283 1457 1202 6597 6107
MSTRG.59.1|347|x|C1_00310W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 4 7 2 2 5 0 2 8 13 3 2 5 2 4 4 5 3 4 1 14 2 6 0 1 1 0 1 0 0 0 5 3 1 4 0
C1_00320W_A|786 8 79 389 1348 489 1132 2707 531 609 1262 1720 1287 645 778 513 579 1326 1457 464 808 865 1172 361 574 2298 193 139 183 284 153 573 627 974 427 621 2881 3256
C1_00330C_A|549 29 174 830 2741 1210 2530 6008 1249 1410 2926 4161 2276 1002 1058 666 705 2294 2621 630 909 994 1824 703 1049 3945 226 167 271 378 156 1022 1049 1283 571 824 3832 5371
C1_00340W_A|747 26 138 991 3319 1134 2487 12348 2523 2652 3961 5549 4268 1499 1382 960 1153 3202 2789 697 1106 1172 2834 983 1512 6813 523 360 514 542 232 1499 1587 2210 1039 1885 8913 9917
C1_00350C_A|876 13 53 362 1139 344 795 10889 2305 1223 4367 5903 3819 1813 8244 3451 4296 14466 11102 7617 13803 13188 26518 8471 12471 54379 3987 2860 4153 2616 1352 6417 6633 8715 4032 5607 38969 33602
MSTRG.64.1|1513|x|C1_00350C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 1 1 11 4 6 52 8 18 11 10 10 7 10 3 8 19 29 11 14 24 28 21 11 32 3 7 1 6 3 15 22 24 7 5 15 1
MSTRG.65.1|682|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 2 4 4 1 1 4 7 6 4 9 7 2 5 9 17 17 18 21 17 37 119 5 1 1 5 5 11 16 12 5 5 28 76
MSTRG.66.1|216|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
C1_00360W_A|1344 29 158 766 2590 1016 2379 3739 694 511 1170 1569 796 320 496 365 449 990 822 665 1102 880 1274 441 612 2468 252 227 249 323 190 685 773 1196 586 603 3837 3245
MSTRG.68.1|295|x|C1_00360W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 2 4 13 4 6 3 0 1 2 0 1 3 8 2 0 0 2 10 2 3 0 0 0 1 0 2 0 0 0 0 0 1 5
C1_00370W_A|285 8 23 110 343 83 184 2473 383 417 653 950 562 312 219 237 182 644 1112 181 207 336 557 233 268 736 59 71 33 153 86 203 243 168 91 48 255 360
C1_00380C_A|2238 18 167 576 1894 531 1229 3287 661 573 2667 3502 2423 1067 1134 1010 1057 2084 2106 475 981 735 1281 688 914 2133 297 241 213 615 319 1040 1074 1086 542 352 2476 1676
MSTRG.71.1|2350|x|C1_00380C_A-T|Ca22chr1A_C_albicans_SC5314|calb 4 28 58 245 117 275 32 11 11 38 57 39 28 30 28 21 37 18 11 13 14 86 46 64 476 0 2 5 25 15 69 73 74 46 6 35 163
MSTRG.72.1|301|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 0 0 2 0 4 7 0 0 0 0 0 3 3 4 3 0 0 0
MSTRG.73.1|1553|x|C1_00390W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 1 4 1 4 10 9 6 0 0 0 1 1 2 0 1 2 3 3 0 15 1 4 7 1 0 1 6 0 2 0 5 3 0 1 0
C1_00390W_A|3204 482 3229 12797 42206 17912 40960 20957 4887 4655 8033 11257 7445 2944 3839 3306 3828 8290 6082 1372 2693 1741 16218 7186 13647 28667 1180 1054 1777 3641 1951 6808 7198 10728 4765 2674 20825 16161
MSTRG.75.1|897|x|C1_00390W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 1 3 22 7 8 1 1 0 0 4 0 1 5 13 3 5 8 0 2 0 0 0 1 1 0 0 2 2 4 2 2 2 27
C1_00400W_A|1149 24 183 1102 3730 1328 2997 6149 1165 867 4939 6816 3776 1590 2566 1821 1972 3850 3582 2301 4267 3247 5438 1981 2983 11259 1056 750 937 1264 755 3308 3350 4703 2222 2326 14131 13465
MSTRG.78.1|385|x|C1_00400W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 1 0 0 1 2 0 0 0 2 0 0 4 1 0 0 3 0 0 0 0 0 1 0 0 1 1 4 0 0 5 8
MSTRG.79.1|466|x|C1_00410C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 1 9 25 12 17 51 9 6 43 40 20 6 17 12 13 29 25 17 20 26 32 9 20 45 4 3 3 11 8 27 34 22 25 12 47 225
C1_00410C_A|1629 25 137 660 2129 596 1291 6123 1444 1455 2265 3236 1691 928 2056 2254 2274 3654 3117 1121 1521 1459 3894 1556 2047 6815 675 566 618 1363 751 2391 2555 3574 1638 1580 8529 7319
MSTRG.81.1|1360|x|C1_00420W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 2 2 5 7 13 26 5 1 1 1 4 0 6 0 2 1 4 2 5 6 35 17 16 30 0 0 3 23 13 36 38 53 24 6 29 83
MSTRG.82.1|1034|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 1 5 31 13 18 56 14 7 1 2 2 0 2 2 3 5 2 3 6 4 101 57 38 161 17 9 20 44 18 97 103 110 61 17 144 121
C1_00420W_A|972 45 164 891 3084 804 1833 9129 1832 2138 2666 3828 2309 1445 2001 1130 1396 3068 3163 1038 2115 2149 3608 1606 2117 6353 467 334 341 1077 524 1874 1925 2438 1099 1215 6579 5018
MSTRG.84.1|237|x|C1_00420W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 3 0 1 1 1 0 0 1 0 0 0 0 0 0 0 5 4 4 9 0 2 0 7 4 19 17 11 3 3 6 6
C1_00430W_A|1677 3 88 314 1109 376 898 3437 674 717 964 1372 935 364 488 458 480 1077 935 551 1058 771 2587 1216 1874 4888 271 188 268 658 403 1322 1358 2175 909 615 4927 4373
MSTRG.87.1|228|x|C1_00440W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 1 1 0 0 2 1 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 1
C1_00440W_A|1514 125 744 3721 12887 3623 8592 16451 3504 4107 6431 9034 6439 2916 4606 3386 4052 7829 7063 1296 2633 2062 4805 1931 2581 9178 733 552 593 1164 603 2421 2650 2948 1424 1603 8488 6989
C1_00450C_A|543 48 404 1948 6342 2009 4790 9955 1889 1725 5340 7790 5920 3369 2085 1599 1692 5028 7314 1168 1531 1863 2869 940 1160 5924 520 371 446 773 376 1407 1625 2126 977 1656 7979 7412
MSTRG.89.1|437|x|C1_00450C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C1_00460W_A|321 50 354 2059 6874 2264 4893 14133 2738 3097 5514 8037 5855 3477 2024 1368 1520 6715 11742 3751 2939 4412 11225 4738 4913 25315 903 619 895 3107 1208 7387 7671 8190 3868 2947 12787 13065
MSTRG.91.1|214|x|C1_00460W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 2 8 13 18 23 2 7 6 7 4 3 3 3 3 9 11 2 1 3 10 7 1 5 0 2 0 1 2 21 31 6 3 4 20 68
C1_00470C_A|1326 12 80 358 1109 350 783 3484 716 672 1768 2407 1483 619 976 825 925 2243 1682 340 771 567 895 386 598 1434 274 239 270 332 202 547 557 755 346 483 2709 2666
MSTRG.93.1|412|x|C1_00480C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 2 0 0 0 0 0 0 0 1 1 0 0 0 1 11
C1_00480C_A|2256 54 495 2642 8775 3380 7758 9811 2081 1766 6674 9089 5407 1421 1783 1821 2121 4033 3221 845 1817 1162 1857 813 1332 3913 584 464 656 566 330 1408 1528 2389 1082 1169 8163 7045
MSTRG.95.1|311|x|C1_00490C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 1 0 1 0 0 9 5 1 6 6 3 3 4 2 1 7 4 3 0 4 15 4 8 16 2 1 0 2 1 3 1 10 6 0 2 0
C1_00490C_A|360 138 734 3698 12096 3478 7810 21226 4152 5914 5085 7262 4775 3516 5558 2372 2850 9169 17889 3597 3094 4737 10136 3177 3587 17236 608 502 570 1965 954 3545 3821 4539 2137 2743 10543 8683
MSTRG.97.1|514|x|C1_00500C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 9 1 2 2 5 4 0 1 0 2 2 8 0 0 0 2 1 1 12 0 0 0 1 1 3 4 0 0 1 0 0
C1_00500C_A|1029 74 387 2459 8256 2348 5443 10243 2219 2676 7120 10218 5175 2622 3944 2280 2488 9798 7806 1030 1590 1663 1743 491 809 3797 395 297 328 383 201 783 891 1209 572 1364 5309 4871
C1_00510W_A|930 6 84 455 1586 549 1265 3039 567 551 2310 3063 2179 940 762 477 517 1566 1350 314 526 466 1219 381 673 2465 173 121 181 220 128 464 553 816 392 484 2692 2672
C1_00520W_A|669 25 69 509 1752 534 1199 3571 678 685 1097 1517 1256 523 636 517 620 1298 1194 410 673 572 1240 447 708 2926 226 157 220 333 183 719 775 988 409 607 3028 3130
MSTRG.101.1|201|x|C1_00520W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 1 0 0 4 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 4 0 0 0 0 0 0 0 7 0 1 2 0
MSTRG.102.1|280|x|C1_00530C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 1 2 0 0 1 0 0 2 1 0 0 1 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
C1_00530C_A|2442 37 228 1036 3593 1496 3276 4632 1002 900 1869 2495 1456 537 790 840 904 1945 1613 287 650 467 375 229 335 870 102 91 136 262 145 517 510 750 342 290 1615 1606
MSTRG.104.1|730|x|C1_00530C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 7 1 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 4 0 0 0 0 0 1 0 0 0 0 1 0 0
C1_00540C_A|2169 27 217 1046 3616 1217 2632 7759 1681 1367 2547 3515 2134 697 858 689 940 2370 2002 566 1162 867 1501 787 1039 2713 529 360 536 589 311 1195 1248 1630 778 915 6133 4763
MSTRG.106.1|672|x|C1_00550W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 2 6 17 2 11 129 35 40 57 79 33 19 22 29 32 92 70 19 19 12 43 26 17 100 5 2 6 32 12 52 71 102 35 7 83 116
C1_00550W_A|1911 18 95 456 1560 619 1280 1355 290 227 348 409 256 73 135 103 109 151 152 155 340 219 588 307 385 1097 165 136 147 219 172 538 584 777 298 242 2168 1639
MSTRG.108.1|458|x|C1_00550W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 4 2 9 1 18 140 36 43 40 83 38 18 26 28 40 88 61 9 21 6 37 12 26 71 9 6 6 23 14 36 45 61 16 11 84 44
C1_00560W_A|1173 13 68 370 1324 419 906 5005 994 855 2105 2744 1893 621 600 412 508 1694 1557 157 281 271 631 240 437 1224 210 143 256 157 115 415 435 722 325 451 3620 3410
C1_00570C_A|2385 8 82 399 1402 708 1599 3773 922 831 1204 1634 1037 277 456 700 854 1315 1238 554 994 671 1426 686 1029 3313 193 180 244 497 306 1433 1599 2185 1067 443 3806 3377
C1_00580W_A|930 12 71 387 1402 509 1053 2448 565 689 805 1131 761 529 1046 667 684 1187 1223 724 1206 1154 3428 1169 1614 7477 216 196 187 657 335 1289 1531 1919 956 684 3670 3606
MSTRG.112.1|205|x|C1_00580W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 2 0 0 1 0 2 2 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 2 1 0 0 1 0 0 2 0
MSTRG.113.1|298|x|C1_00590W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 2 1 0 0 4 1 2 3 3 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
C1_00590W_A|1281 484 3091 16053 53991 22540 50830 63645 14432 12837 44448 61284 41046 10578 8797 9411 10063 51415 31922 4411 8839 5731 9833 4448 7028 20419 2328 1843 2615 2731 1627 6428 6945 11928 5687 6394 44762 41351
MSTRG.115.1|355|x|C1_00590W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 4 4 8 3 1 2 4 2 0 4 0 2 3 0 0 1 0 0 0 0 0 0 0 1 2 1 0 0 1 0 0 2 3
C1_00600W_A|4608 10 104 489 1677 773 1756 4533 1010 877 2027 2652 1274 332 591 730 830 1679 1544 758 1405 948 1500 781 991 2745 217 199 234 590 324 1146 1282 1988 977 481 4460 3687
MSTRG.117.1|360|x|C1_00610W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 4 0 0 0 0 0 0 0 1 0 0 2 18
C1_00610W_A|1773 50 393 2196 7148 2826 6562 11396 2571 2486 4622 6396 3845 1334 2490 2860 3055 5771 4289 2042 4401 2691 3843 1618 2603 7759 670 560 697 1037 576 2752 2955 4101 1897 1196 10448 11170
MSTRG.119.1|429|x|C1_00610W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 6
C1_00620W_A|942 66 447 1889 6308 2375 5348 7270 1506 1399 3088 4490 2711 1324 2080 1287 1450 3458 3168 1050 1840 1793 3622 1391 1887 7502 485 335 382 734 368 1345 1466 2109 920 1264 6561 7062
MSTRG.121.1|602|x|C1_00630W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 9 25 5 14 94 22 26 12 25 27 9 8 7 9 28 41 21 8 21 21 7 7 79 10 6 3 17 12 16 15 26 20 6 57 32
C1_00630W_A|1746 18 96 427 1426 747 1731 817 223 192 520 678 419 154 447 481 610 778 633 237 581 401 153 105 159 349 40 42 43 109 68 292 324 466 226 150 1006 935
MSTRG.123.1|262|x|C1_00640C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 1 1 5 2 4 8 1 1 1 3 2 1 2 3 5 1 4 0 1 2 0 0 0 0 0 0 0 0 0 6 3 0 0 0 3 0
C1_00640C_A|3903 73 371 1664 5799 2436 5625 12550 2757 2328 7908 10805 6278 1294 1272 1515 1849 6984 6623 836 1671 1073 3320 1683 2500 6503 760 574 840 1315 698 2837 3107 4441 2055 1288 13182 9690
MSTRG.125.1|833|x|C1_00640C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 1 4 5 0 6 18 2 1 4 3 2 0 1 0 4 3 3 0 1 2 1 4 3 2 0 2 0 2 0 3 1 10 5 0 4 41
C1_00650C_A|681 54 293 2233 7632 2387 5578 6320 1272 1359 2777 3845 2857 1462 1768 1505 1746 3345 2840 1047 1751 1575 4557 1989 2831 12454 560 406 522 872 435 3151 3275 4202 1902 1429 8502 10377
MSTRG.127.1|736|x|C1_00660C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 1 4 2 8 1 0 0 1 2 0 0 1 0 3 3 2 2 0 4 7 4 4 0 0 1 1 3 3 5 9 2 1 1 4 9
C1_00660C_A|1014 66 336 1770 6020 1880 4310 4853 968 934 2350 3354 2117 1141 1189 914 1070 2436 2287 587 1100 1069 2241 773 1103 4963 288 209 290 437 205 1130 1186 1556 749 759 3990 3848
MSTRG.129.1|492|x|C1_00670C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 4 2 0 12 2 5 7 0 4 3 1 1 1 2 4 0 1 4 2 2 3 35 0 0 0 4 0 1 4 3 2 0 0 0
