calb	ctrop	cpar	cglab	myID
C4_02260C_A	CTRG_00168	CPAR2_401610	CAGL0M13915g	myID96
C4_02250C_A	CTRG_00169	CPAR2_401600	CAGL0G00220g	myID97
C4_01300W_A	CTRG_00177	CPAR2_400570	CAGL0K02959g	myID98
C4_01370W_A	CTRG_00181	CPAR2_400910	CAGL0H03905g	myID99
C4_01410W_A	CTRG_00185	CPAR2_400940	CAGL0M05357g	myID100
C4_01440W_A	CTRG_00190	CPAR2_401040	CAGL0A04059g	myID101
C4_01450W_A	CTRG_00191	CPAR2_401050	CAGL0A04037g	myID102
C4_01470W_A	CTRG_00193	CPAR2_401020	CAGL0M11418g	myID103
C4_01490W_A	CTRG_00194	CPAR2_401010	CAGL0M13893g	myID104
C4_01500W_A	CTRG_00195	CPAR2_401000	CAGL0K09416g	myID105
C4_01510W_A	CTRG_00196	CPAR2_400990	CAGL0M11242g	myID106
C4_01550C_A	CTRG_00199	CPAR2_401060	CAGL0I09592g	myID107
C4_01560C_A	CTRG_00200	CPAR2_401070	CAGL0F03465g	myID108
C4_01650C_A	CTRG_00201	CPAR2_402670	CAGL0I05456g	myID109
C4_01660W_A	CTRG_00202	CPAR2_402660	CAGL0I05412g	myID110
C4_01670C_A	CTRG_00203	CPAR2_402650	CAGL0M07425g	myID111
C4_01680W_A	CTRG_00204	CPAR2_402630	CAGL0I05434g	myID112
C4_01690C_A	CTRG_00205	CPAR2_402620	CAGL0M07447g	myID113
C4_01720C_A	CTRG_00207	CPAR2_401260	CAGL0M13035g	myID114
C4_01730C_A	CTRG_00209	CPAR2_401250	CAGL0H08503g	myID115
C4_01740W_A	CTRG_00210	CPAR2_401240	CAGL0H08525g	myID116
C4_01750C_A	CTRG_00211	CPAR2_401230	CAGL0L02497g	myID117
C4_01760W_A	CTRG_00213	CPAR2_401220	CAGL0H08547g	myID118
C4_01770W_A	CTRG_00214	CPAR2_401210	CAGL0D01716g	myID119
C4_01780C_A	CTRG_00215	CPAR2_401200	CAGL0H08481g	myID120
C4_01790W_A	CTRG_00217	CPAR2_401270	CAGL0H08558g	myID121
C4_01840C_A	CTRG_00220	CPAR2_400630	CAGL0H05995g	myID122
C4_01930C_A	CTRG_00223	CPAR2_400500	CAGL0H05951g	myID123
C4_01910W_A	CTRG_00225	CPAR2_400480	CAGL0J09878g	myID124
C4_01900C_A	CTRG_00226	CPAR2_400470	CAGL0L05236g	myID125
C4_01890C_A	CTRG_00227	CPAR2_400730	CAGL0I10835g	myID126
C4_01880W_A	CTRG_00228	CPAR2_400720	CAGL0M06017g	myID127
C7_02500C_A	CTRG_00229	CPAR2_300920	CAGL0H01177g	myID128
C4_01870C_A	CTRG_00230	CPAR2_400710	CAGL0F03993g	myID129
C4_01950W_A	CTRG_00235	CPAR2_400520	CAGL0I05214g	myID130
C4_01960C_A	CTRG_00237	CPAR2_400530	CAGL0I02112g	myID131
C4_01980C_A	CTRG_00239	CPAR2_400430	CAGL0I08833g	myID132
C4_01990W_A	CTRG_00240	CPAR2_401330	CAGL0A03080g	myID133
C4_02000C_A	CTRG_00241	CPAR2_401320	CAGL0A03058g	myID134
C4_02020W_A	CTRG_00243	CPAR2_401300	CAGL0J11836g	myID135
C4_02050W_A	CTRG_00246	CPAR2_400700	CAGL0D05500g	myID136
C4_02060C_A	CTRG_00247	CPAR2_400690	CAGL0D05478g	myID137
C4_02670W_A	CTRG_00250	CPAR2_400220	CAGL0J06886g	myID138
C4_02640C_A	CTRG_00252	CPAR2_400150	CAGL0M11594g	myID139
C4_02630C_A	CTRG_00253	CPAR2_400140	CAGL0I08635g	myID140
C4_02620C_A	CTRG_00254	CPAR2_400130	CAGL0B01727g	myID141
C4_02600C_A	CTRG_00256	CPAR2_400110	CAGL0K02453g	myID142
C4_02590C_A	CTRG_00257	CPAR2_207390	CAGL0M04389g	myID143
C4_03940C_A	CTRG_00259	CPAR2_402090	CAGL0K06787g	myID144
C4_02870C_A	CTRG_00260	CPAR2_400750	CAGL0G00154g	myID145
C4_02880C_A	CTRG_00261	CPAR2_400760	CAGL0D03300g	myID146
C4_02890C_A	CTRG_00262	CPAR2_400800	CAGL0H09328g	myID147
C4_02900C_A	CTRG_00263	CPAR2_400860	CAGL0G09449g	myID148
C4_04310W_A	CTRG_00269	CPAR2_401730	CAGL0M02673g	myID149
C4_04290W_A	CTRG_00271	CPAR2_401710	CAGL0H07909g	myID150
C4_04280C_A	CTRG_00272	CPAR2_401700	CAGL0C02079g	myID151
C4_04260C_A	CTRG_00274	CPAR2_401680	CAGL0M06259g	myID152
C4_04250W_A	CTRG_00275	CPAR2_101830	CAGL0M09647g	myID153
C4_03090W_A	CTRG_00276	CPAR2_401670	CAGL0J07106g	myID154
C4_03040W_A	CTRG_00281	CPAR2_401530	CAGL0L02799g	myID155
C4_03030C_A	CTRG_00282	CPAR2_401520	CAGL0M02805g	myID156
C4_03020W_A	CTRG_00283	CPAR2_401510	CAGL0L02783g	myID157
C4_03050C_A	CTRG_00287	CPAR2_401540	CAGL0C00319g	myID158
C4_02920W_A	CTRG_00290	CPAR2_400870	CAGL0F07799g	myID159
C4_04000W_A	CTRG_00304	CPAR2_402070	CAGL0G06688g	myID160
C4_02860W_A	CTRG_00305	CPAR2_400740	CAGL0M13937g	myID161
C4_04090C_A	CTRG_00306	CPAR2_401980	CAGL0D00242g	myID162
C4_04100C_A	CTRG_00307	CPAR2_302210	CAGL0D00220g	myID163
C4_04120C_A	CTRG_00308	CPAR2_302190	CAGL0J10934g	myID164
C4_04130W_A	CTRG_00309	CPAR2_302180	CAGL0H06743g	myID165
C4_03930C_A	CTRG_00310	CPAR2_101840	CAGL0L07150g	myID166
C4_03920W_A	CTRG_00311	CPAR2_301850	CAGL0L07128g	myID167
C4_03900C_A	CTRG_00312	CPAR2_101850	CAGL0L07106g	myID168
C4_03850W_A	CTRG_00315	CPAR2_403790	CAGL0L07062g	myID169
C4_03840C_A	CTRG_00316	CPAR2_403800	CAGL0H10384g	myID170
C4_03830W_A	CTRG_00317	CPAR2_403810	CAGL0H10406g	myID171
C4_03810W_A	CTRG_00319	CPAR2_403910	CAGL0H10428g	myID172
C4_03800C_A	CTRG_00320	CPAR2_403760	CAGL0H10494g	myID173
C4_03790W_A	CTRG_00321	CPAR2_403750	CAGL0L07238g	myID174
C4_03780C_A	CTRG_00322	CPAR2_403740	CAGL0H07227g	myID175
C4_03770W_A	CTRG_00323	CPAR2_403730	CAGL0H10362g	myID176
C4_03750C_A	CTRG_00324	CPAR2_403720	CAGL0E04928g	myID177
C4_03740W_A	CTRG_00325	CPAR2_403690	CAGL0H07205g	myID178
C4_03730C_A	CTRG_00326	CPAR2_403700	CAGL0H07183g	myID179
C4_03700W_A	CTRG_00329	CPAR2_403640	CAGL0J01375g	myID180
C4_03680C_A	CTRG_00333	CPAR2_403620	CAGL0H07293g	myID181
C4_03670W_A	CTRG_00334	CPAR2_403610	CAGL0D05720g	myID182
C4_02980W_A	CTRG_00338	CPAR2_400810	CAGL0H09372g	myID183
C4_02970C_A	CTRG_00339	CPAR2_400820	CAGL0H09350g	myID184
C4_02960W_A	CTRG_00340	CPAR2_400830	CAGL0D03344g	myID185
C4_02950C_A	CTRG_00341	CPAR2_400840	CAGL0D05522g	myID186
C4_02940W_A	CTRG_00342	CPAR2_400850	CAGL0C03597g	myID187
C4_03590C_A	CTRG_00345	CPAR2_403570	CAGL0J10780g	myID188
CR_07950W_A	CTRG_00354	CPAR2_203130	CAGL0J10252g	myID189
CR_03920C_A	CTRG_00356	CPAR2_202420	CAGL0L10912g	myID190
CR_03930C_A	CTRG_00357	CPAR2_202410	CAGL0D03960g	myID191
CR_03940W_A	CTRG_00358	CPAR2_202400	CAGL0M01210g	myID192
CR_03950W_A	CTRG_00359	CPAR2_202390	CAGL0F08943g	myID193
CR_03960C_A	CTRG_00360	CPAR2_202380	CAGL0F07051g	myID194
CR_03980W_A	CTRG_00361	CPAR2_202360	CAGL0H01947g	myID195
CR_03990C_A	CTRG_00362	CPAR2_202350	CAGL0K08888g	myID196
CR_04000W_A	CTRG_00363	CPAR2_202340	CAGL0K08910g	myID197
CR_04010C_A	CTRG_00364	CPAR2_202330	CAGL0F03663g	myID198
CR_04020C_A	CTRG_00365	CPAR2_202320	CAGL0K08954g	myID199
CR_04030W_A	CTRG_00366	CPAR2_202310	CAGL0F03619g	myID200
CR_04040C_A	CTRG_00367	CPAR2_202300	CAGL0F03597g	myID201
CR_04050C_A	CTRG_00369	CPAR2_202290	CAGL0F03531g	myID202
CR_04060C_A	CTRG_00370	CPAR2_202280	CAGL0F03553g	myID203
CR_04070W_A	CTRG_00371	CPAR2_202270	CAGL0K09020g	myID204
CR_04080C_A	CTRG_00372	CPAR2_202260	CAGL0G07469g	myID205
CR_04110W_A	CTRG_00375	CPAR2_202230	CAGL0L04114g	myID206
CR_04120C_A	CTRG_00376	CPAR2_202220	CAGL0L13002g	myID207
CR_04130C_A	CTRG_00377	CPAR2_202210	CAGL0K09746g	myID208
CR_04140W_A	CTRG_00378	CPAR2_202200	CAGL0K09768g	myID209
CR_04150W_A	CTRG_00379	CPAR2_202190	CAGL0J09988g	myID210
CR_04160C_A	CTRG_00380	CPAR2_202180	CAGL0J10010g	myID211
CR_04170W_A	CTRG_00381	CPAR2_202170	CAGL0J10032g	myID212
CR_04180C_A	CTRG_00382	CPAR2_202160	CAGL0J10054g	myID213
CR_04190W_A	CTRG_00383	CPAR2_202150	CAGL0K09790g	myID214
CR_04200W_A	CTRG_00384	CPAR2_202140	CAGL0J09966g	myID215
CR_04230W_A	CTRG_00387	CPAR2_202110	CAGL0L04202g	myID216
CR_04240C_A	CTRG_00388	CPAR2_202100	CAGL0K09614g	myID217
CR_04260W_A	CTRG_00390	CPAR2_202080	CAGL0G05115g	myID218
CR_04270C_A	CTRG_00391	CPAR2_202070	CAGL0K01947g	myID219
CR_04280C_A	CTRG_00392	CPAR2_202050	CAGL0J04378g	myID220
CR_04290W_A	CTRG_00393	CPAR2_202040	CAGL0J04400g	myID221
CR_04480C_A	CTRG_00394	CPAR2_210960	CAGL0J07568g	myID222
CR_04300W_A	CTRG_00396	CPAR2_205180	CAGL0K01991g	myID223
CR_04310C_A	CTRG_00397	CPAR2_205190	CAGL0K01969g	myID224
CR_04380C_A	CTRG_00399	CPAR2_205250	CAGL0K11088g	myID225
CR_04360C_A	CTRG_00401	CPAR2_205230	CAGL0J09614g	myID226
CR_04340W_A	CTRG_00403	CPAR2_205210	CAGL0J04422g	myID227
CR_04420C_A	CTRG_00407	CPAR2_205280	CAGL0L07502g	myID228
CR_04450C_A	CTRG_00410	CPAR2_205300	CAGL0M05335g	myID229
CR_04470W_A	CTRG_00412	CPAR2_206040	CAGL0H05401g	myID230
CR_04510W_A	CTRG_00414	CPAR2_206020	CAGL0H07579g	myID231
CR_04520W_A	CTRG_00415	CPAR2_205840	CAGL0F01221g	myID232
CR_04540C_A	CTRG_00416	CPAR2_204250	CAGL0K08712g	myID233
CR_04560C_A	CTRG_00417	CPAR2_204230	CAGL0K11506g	myID234
CR_04570C_A	CTRG_00418	CPAR2_204200	CAGL0G06754g	myID235
CR_04580W_A	CTRG_00419	CPAR2_204190	CAGL0G06776g	myID236
CR_04590C_A	CTRG_00420	CPAR2_204180	CAGL0I04708g	myID237
CR_07590W_A	CTRG_00421	CPAR2_701860	CAGL0K08426g	myID238
CR_07920W_A	CTRG_00422	CPAR2_701910	CAGL0B03113g	myID239
C4_03150W_A	CTRG_00426	CPAR2_301930	CAGL0M13475g	myID240
C4_03140C_A	CTRG_00427	CPAR2_301920	CAGL0M13431g	myID241
C4_03130W_A	CTRG_00428	CPAR2_301910	CAGL0M13453g	myID242
C4_03120C_A	CTRG_00429	CPAR2_301900	CAGL0G06930g	myID243
C4_03110W_A	CTRG_00430	CPAR2_403840	CAGL0H04477g	myID244
C4_04810C_A	CTRG_00433	CPAR2_302430	CAGL0J09746g	myID245
C4_04800W_A	CTRG_00434	CPAR2_302440	CAGL0B02585g	myID246
C4_04750W_A	CTRG_00436	CPAR2_302010	CAGL0K03949g	myID247
C4_04760C_A	CTRG_00437	CPAR2_302020	CAGL0K03927g	myID248
C4_04780W_A	CTRG_00438	CPAR2_301980	CAGL0K00979g	myID249
C3_00950C_A	CTRG_00442	CPAR2_502930	CAGL0M08030g	myID250
C3_00940W_A	CTRG_00443	CPAR2_102350	CAGL0E01441g	myID251
C3_04140C_A	CTRG_00446	CPAR2_102710	CAGL0M07161g	myID252
C3_03280C_A	CTRG_00449	CPAR2_103280	CAGL0E02315g	myID253
C3_03290C_A	CTRG_00450	CPAR2_103290	CAGL0L13288g	myID254
C3_03300C_A	CTRG_00451	CPAR2_102680	CAGL0D02354g	myID255
C3_03310C_A	CTRG_00452	CPAR2_102670	CAGL0B01573g	myID256
C3_03320W_A	CTRG_00453	CPAR2_102660	CAGL0B01589g	myID257
C3_03330C_A	CTRG_00454	CPAR2_102650	CAGL0D02376g	myID258
C3_03260W_A	CTRG_00455	CPAR2_102690	CAGL0D02332g	myID259
C3_04000C_A	CTRG_00457	CPAR2_103260	CAGL0I08305g	myID260
C3_03410C_A	CTRG_00464	CPAR2_103400	CAGL0L10582g	myID261
C3_03400C_A	CTRG_00465	CPAR2_103410	CAGL0L10604g	myID262
C3_03390C_A	CTRG_00466	CPAR2_103420	CAGL0H00660g	myID263
C4_03390W_A	CTRG_00469	CPAR2_403440	CAGL0G05786g	myID264
C4_03410W_A	CTRG_00470	CPAR2_403460	CAGL0J11198g	myID265
C4_03430W_A	CTRG_00471	CPAR2_403470	CAGL0F04631g	myID266
C4_03440C_A	CTRG_00473	CPAR2_403480	CAGL0J11352g	myID267
C4_03450C_A	CTRG_00474	CPAR2_403490	CAGL0G05676g	myID268
C4_03460C_A	CTRG_00475	CPAR2_403500	CAGL0E03630g	myID269
C4_03560W_A	CTRG_00479	CPAR2_403530	CAGL0F08393g	myID270
C4_03550W_A	CTRG_00480	CPAR2_403540	CAGL0F08327g	myID271
C4_03290W_A	CTRG_00481	CPAR2_403330	CAGL0J05566g	myID272
C4_03330W_A	CTRG_00484	CPAR2_301970	CAGL0H07271g	myID273
C4_03180W_A	CTRG_00485	CPAR2_301960	CAGL0D04114g	myID274
C4_03170W_A	CTRG_00486	CPAR2_301950	CAGL0H01067g	myID275
C4_02850W_A	CTRG_00489	CPAR2_400380	CAGL0K00957g	myID276
C4_02840C_A	CTRG_00490	CPAR2_400350	CAGL0D04136g	myID277
C4_02830C_A	CTRG_00492	CPAR2_400340	CAGL0J01045g	myID278
C4_02820W_A	CTRG_00493	CPAR2_400330	CAGL0I03586g	myID279
C4_02800W_A	CTRG_00494	CPAR2_400320	CAGL0I03630g	myID280
C4_02790C_A	CTRG_00495	CPAR2_400310	CAGL0I03608g	myID281
C4_02780W_A	CTRG_00496	CPAR2_400300	CAGL0I03762g	myID282
C4_02770C_A	CTRG_00497	CPAR2_400290	CAGL0J08932g	myID283
C4_02760C_A	CTRG_00498	CPAR2_400280	CAGL0H10054g	myID284
C4_02750W_A	CTRG_00499	CPAR2_400270	CAGL0D06094g	myID285
C4_02720C_A	CTRG_00501	CPAR2_400240	CAGL0M13101g	myID286
C4_02710C_A	CTRG_00502	CPAR2_400070	CAGL0G08151g	myID287
C4_02700W_A	CTRG_00503	CPAR2_400080	CAGL0L11968g	myID288
C4_02570C_A	CTRG_00504	CPAR2_400090	CAGL0L11880g	myID289
C4_03360C_A	CTRG_00507	CPAR2_403370	CAGL0G06952g	myID290
C4_03200C_A	CTRG_00509	CPAR2_403390	CAGL0J10868g	myID291
C4_03270W_A	CTRG_00510	CPAR2_403400	CAGL0H02079g	myID292
C4_03280W_A	CTRG_00511	CPAR2_403350	CAGL0M01144g	myID293
CR_04620C_A	CTRG_00513	CPAR2_203870	CAGL0M06281g	myID294
CR_04630C_A	CTRG_00514	CPAR2_203860	CAGL0F02607g	myID295
CR_04640W_A	CTRG_00515	CPAR2_203850	CAGL0F02651g	myID296
CR_04650W_A	CTRG_00516	CPAR2_203840	CAGL0C02849g	myID297
CR_04660C_A	CTRG_00517	CPAR2_203830	CAGL0L01925g	myID298
CR_04810W_A	CTRG_00520	CPAR2_204080	CAGL0J11220g	myID299
CR_04720C_A	CTRG_00522	CPAR2_204010	CAGL0E05038g	myID300
CR_04730W_A	CTRG_00523	CPAR2_204020	CAGL0M09229g	myID301
CR_04740C_A	CTRG_00524	CPAR2_204070	CAGL0K04499g	myID302
CR_04750W_A	CTRG_00525	CPAR2_204060	CAGL0G04983g	myID303
CR_04760C_A	CTRG_00526	CPAR2_204050	CAGL0F04015g	myID304
CR_04780W_A	CTRG_00528	CPAR2_204030	CAGL0J04070g	myID305
CR_04840C_A	CTRG_00530	CPAR2_203990	CAGL0F07667g	myID306
CR_04880W_A	CTRG_00533	CPAR2_203970	CAGL0I01342g	myID307
CR_05180C_A	CTRG_00535	CPAR2_204580	CAGL0C03223g	myID308
CR_04950W_A	CTRG_00539	CPAR2_204590	CAGL0E05060g	myID309
CR_04930W_A	CTRG_00541	CPAR2_203910	CAGL0E05082g	myID310
CR_04920W_A	CTRG_00542	CPAR2_203920	CAGL0H10538g	myID311
CR_04910W_A	CTRG_00543	CPAR2_203930	CAGL0E05126g	myID312
CR_04890W_A	CTRG_00546	CPAR2_203950	CAGL0E05104g	myID313
CR_05150W_A	CTRG_00548	CPAR2_203410	CAGL0M11236g	myID314
CR_05140W_A	CTRG_00549	CPAR2_203400	CAGL0C02101g	myID315
CR_05130C_A	CTRG_00550	CPAR2_203390	CAGL0C02123g	myID316
CR_05080W_A	CTRG_00555	CPAR2_203360	CAGL0K05379g	myID317
CR_05050W_A	CTRG_00556	CPAR2_203350	CAGL0K05357g	myID318
CR_05220C_A	CTRG_00564	CPAR2_203300	CAGL0E03916g	myID319
CR_05260C_A	CTRG_00565	CPAR2_203290	CAGL0D04378g	myID320
CR_05310W_A	CTRG_00568	CPAR2_203120	CAGL0B04983g	myID321
CR_05380C_A	CTRG_00571	CPAR2_204150	CAGL0H03971g	myID322
CR_05390W_A	CTRG_00572	CPAR2_204160	CAGL0K11858g	myID323
CR_05530C_A	CTRG_00574	CPAR2_204560	CAGL0M02651g	myID324
CR_05520W_A	CTRG_00575	CPAR2_204570	CAGL0L02871g	myID325
CR_05510W_A	CTRG_00576	CPAR2_204500	CAGL0L02651g	myID326
CR_05460W_A	CTRG_00581	CPAR2_204480	CAGL0J04092g	myID327
CR_05550C_A	CTRG_00585	CPAR2_204540	CAGL0L02849g	myID328
CR_05560W_A	CTRG_00586	CPAR2_204530	CAGL0J06842g	myID329
CR_05580C_A	CTRG_00588	CPAR2_204510	CAGL0J06864g	myID330
CR_05620C_A	CTRG_00591	CPAR2_204640	CAGL0I02332g	myID331
CR_05630W_A	CTRG_00592	CPAR2_204650	CAGL0I02354g	myID332
CR_05650W_A	CTRG_00594	CPAR2_204670	CAGL0F08151g	myID333
CR_05660W_A	CTRG_00595	CPAR2_204680	CAGL0F08129g	myID334
CR_05670C_A	CTRG_00596	CPAR2_204690	CAGL0E00737g	myID335
CR_05690W_A	CTRG_00597	CPAR2_204700	CAGL0J04136g	myID336
CR_05700C_A	CTRG_00598	CPAR2_205390	CAGL0J08052g	myID337
CR_06340C_A	CTRG_00601	CPAR2_204880	CAGL0H05445g	myID338
CR_06330C_A	CTRG_00602	CPAR2_204870	CAGL0J06666g	myID339
CR_06420W_A	CTRG_00606	CPAR2_702210	CAGL0H04851g	myID340
CR_06440C_A	CTRG_00608	CPAR2_205990	CAGL0L00583g	myID341
CR_06450W_A	CTRG_00609	CPAR2_805690	CAGL0D02816g	myID342
CR_06470W_A	CTRG_00611	CPAR2_203020	CAGL0E02299g	myID343
CR_06480C_A	CTRG_00612	CPAR2_203030	CAGL0J11792g	myID344
CR_06490C_A	CTRG_00613	CPAR2_203040	CAGL0K05973g	myID345
CR_06520C_A	CTRG_00616	CPAR2_202990	CAGL0K06017g	myID346
CR_06530W_A	CTRG_00617	CPAR2_203000	CAGL0K03091g	myID347
CR_06070W_A	CTRG_00620	CPAR2_205030	CAGL0H07513g	myID348
CR_06080W_A	CTRG_00621	CPAR2_205020	CAGL0H03707g	myID349
