orf19.6103	CAWG_01357	CD36_00100	CTRG1_04282	CTRG_04282	---	---	---	---	---	DEHA2A13332g	PICST_28175	CANTEDRAFT_114386	SPAPADRAFT_53067	PGUG_01091	CLUG_03452	B9J08_001269	YER046W
---	---	---	---	---	---	---	---	---	---	DEHA2F14542g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F14894g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F15004g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F15026g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F15400g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F15444g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F15906g	---	---	---	---	---	---	---
orf19.1002	CAWG_00377	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F15928g	---	---	---	---	---	---	YDR287W
---	---	---	---	---	---	---	---	---	---	DEHA2F16104g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F16214g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F16500g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F16511g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F16830g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F16918g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F16962g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F17028g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F17380g	---	CANTEDRAFT_113530	---	---	---	---	---
orf19.1005	CAWG_00376	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F17490g	---	---	---	PGUG_04242	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F17578g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F17842g	PICST_64420	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F17908g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F18359g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F18535g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F18575g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F18590g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F18612g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F18898g	---	---	---	PGUG_02588	CLUG_02885	---	---
orf19.1830	CAWG_00375	---	CTRG1_03296	CTRG_03296	---	---	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F19118g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F19206g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F19536g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F20416g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F20438g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F20570g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F20922g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F21362g	PICST_33812	CANTEDRAFT_116726	SPAPADRAFT_148821	PGUG_00344	CLUG_05639	B9J08_005482	---
---	---	---	---	---	---	---	---	---	---	DEHA2F22132g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F22396g	---	---	---	---	---	---	---
orf19.1831	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F22418g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F22704g	---	---	---	PGUG_00403	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F22726g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F22748g	PICST_59713	---	---	PGUG_00404	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F22792g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F22814g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F23716g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F23914g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F24244g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F24475g	---	---	---	---	---	---	---
orf19.1832	CAWG_00373	CD36_09940	CTRG1_03293	CTRG_03293	CPAR2_201790	CMET_3306	CORT1D01850	CORT0D01850	LELG_03514	DEHA2C03564g	PICST_30809	---	SPAPADRAFT_139244	PGUG_05811	CLUG_00702	B9J08_001737	YGL186C
---	---	---	---	---	---	---	---	---	---	DEHA2F24761g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F24970g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F25366g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F25443g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F25608g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F25916g	PICST_32587	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F26158g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F26576g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F26818g	---	---	---	PGUG_02777	---	---	YIL162W
---	---	---	---	---	---	---	---	---	---	DEHA2F26840g	---	CANTEDRAFT_105318	---	PGUG_04883	---	---	---
orf19.1833	CAWG_00372	CD36_09950	CTRG1_03289	CTRG_03289	CPAR2_212590	CMET_2319	CORT1A11910	CORT0A11910	LELG_01058	DEHA2G11748g	PICST_64832	CANTEDRAFT_116369	SPAPADRAFT_131860	PGUG_04294	CLUG_05058	B9J08_001358	YLR175W
---	---	---	---	---	---	---	---	---	---	DEHA2F26906g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F26950g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F26972g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F26994g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27016g	PICST_33997	CANTEDRAFT_134516	---	PGUG_04493	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27060g	---	CANTEDRAFT_93444	---	PGUG_04491	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27082g	PICST_50606	CANTEDRAFT_121807	---	PGUG_04492	---	---	YBR293W
---	---	---	---	---	---	---	---	---	---	DEHA2F27126g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27159g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27170g	---	---	---	---	---	---	---
orf19.1834	CAWG_00371	CD36_09960	CTRG1_03288	CTRG_03288	CPAR2_212580	CMET_2320	CORT1A11900	CORT0A11900	LELG_01059	DEHA2G11770g	PICST_51041	---	SPAPADRAFT_130860	PGUG_04295	CLUG_05059	B9J08_001357	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27214g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27236g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27280g	PICST_43795	CANTEDRAFT_129499	---	PGUG_00439	---	---	YJL094C
---	---	---	---	---	---	---	---	---	---	DEHA2F27302g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27313g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27324g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27346g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27368g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27390g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27412g	---	---	---	---	---	---	---
orf19.3294	CAWG_01268	CD36_01000	CTRG1_04407	CTRG_04407	CPAR2_110110	CMET_108	CORT1B11220	CORT0B11220	LELG_05601	DEHA2B01012g	PICST_69049	CANTEDRAFT_115829	SPAPADRAFT_57787	PGUG_00051	CLUG_00023	B9J08_002970	YOR298C-A
orf19.1835	CAWG_00370	CD36_09970	CTRG1_03287	CTRG_03287	CPAR2_212570	CMET_2321	CORT1A11890	CORT0A11890	LELG_01060	DEHA2G11792g	PICST_52608	CANTEDRAFT_127449	SPAPADRAFT_53575	PGUG_04296	CLUG_05060	B9J08_001356	YER149C
---	---	---	---	---	---	---	---	---	---	DEHA2F27434g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F27467g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00110g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00121g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00132g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00154g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00176g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00187g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00198g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00220g	---	---	---	---	---	---	---
orf19.1836	CAWG_00369	CD36_09980	CTRG1_03279	CTRG_03279	CPAR2_212560	CMET_2322	CORT1A11880	CORT0A11880	LELG_01061	DEHA2G11814g	PICST_28317	CANTEDRAFT_127448	SPAPADRAFT_132284	PGUG_04297	CLUG_05065	B9J08_001355	YBL019W
---	---	---	---	---	---	---	---	---	---	DEHA2G00242g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00253g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00264g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00286g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00319g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00330g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00352g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00374g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00396g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00418g	---	---	---	---	---	---	---
orf19.1837	CAWG_00368	CD36_09990	CTRG1_03280	CTRG_03280	CPAR2_212550	CMET_2323	CORT1A11870	CORT0A11870	LELG_01062	DEHA2G11836g	PICST_38880	CANTEDRAFT_116365	SPAPADRAFT_58486	PGUG_04298	CLUG_05066	B9J08_001354	YER148W
---	---	---	---	---	---	---	---	---	---	DEHA2G00440g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00462g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00484g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00506g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00528g	---	---	---	PGUG_05367	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00539g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00550g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00572g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G00968g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G01276g	---	---	---	---	---	---	---
orf19.1839	CAWG_00367	CD36_10000	CTRG1_03281	CTRG_03281	CPAR2_803580	CMET_4669	CORT1A03600	CORT0A03600	LELG_00484	DEHA2C10670g	PICST_73507	CANTEDRAFT_93280	SPAPADRAFT_139497	PGUG_03709	CLUG_05440	B9J08_004222	YOR341W
---	---	---	---	---	---	---	---	---	---	DEHA2G01298g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G01430g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G02046g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G02068g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G02442g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G02574g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G02684g	PICST_52102	CANTEDRAFT_115865	SPAPADRAFT_62639	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G02904g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G03300g	---	---	---	PGUG_05278	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G03366g	PICST_31412	CANTEDRAFT_135884	---	---	---	B9J08_001180	---
orf19.1840	CAWG_00365	CD36_10010	CTRG1_03284	CTRG_03284	CPAR2_803570	CMET_4668	CORT1A03590	CORT0A03590	LELG_00485	DEHA2C10648g	PICST_68263	CANTEDRAFT_121393	SPAPADRAFT_153115	PGUG_03710	CLUG_02457	B9J08_005109	YOR086C
---	---	---	---	---	---	---	---	---	---	DEHA2G03388g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G03608g	PICST_27939	---	---	---	clus_CGOB_00057	B9J08_001777	---
---	---	---	---	---	---	---	---	---	---	DEHA2G04554g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G04862g	PICST_31875	CANTEDRAFT_91525	---	PGUG_02950	CLUG_01556	B9J08_000526	---
---	---	---	---	---	---	---	---	---	---	DEHA2G05434g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G06182g	---	CANTEDRAFT_112334	SPAPADRAFT_59101	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G06358g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G06424g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G06468g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G06490g	PICST_31830	---	---	---	---	---	---
orf19.2352	CAWG_00364	CD36_10020	CTRG1_03285	CTRG_03285	CPAR2_201460	CMET_3274	CORT1D01510	CORT0D01510	LELG_03560	DEHA2C03762g	PICST_57391	CANTEDRAFT_113623	SPAPADRAFT_71070	PGUG_05804	CLUG_01366	B9J08_001938	YGR031W
---	---	---	---	---	---	---	---	---	---	DEHA2G06512g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G06534g	PICST_41452	CANTEDRAFT_94401	SPAPADRAFT_141816	PGUG_02874	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G06600g	---	CANTEDRAFT_108957	---	PGUG_02871	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G06644g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G06666g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G06688g	---	---	spas_CGOB_00023	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G07172g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G07194g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G07678g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G07700g	---	---	---	---	---	---	---
orf19.2351	CAWG_00363	CD36_10030	CTRG1_03286	CTRG_03286	CPAR2_201450	CMET_3273	CORT1D01500	CORT0D01500	LELG_03561	DEHA2C03740g	PICST_82428	CANTEDRAFT_104031	SPAPADRAFT_55849	PGUG_05805	CLUG_01365	B9J08_001937	YLR351C
---	---	---	---	---	---	---	---	---	---	DEHA2G08283g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G09086g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G09284g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G09647g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G09658g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G10417g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G10582g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G10626g	---	---	---	PGUG_04781	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G11275g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G11297g	---	---	---	---	---	---	---
orf19.2350	CAWG_00361	CD36_10040	CTRG1_03278	CTRG_03278	CPAR2_201440	CMET_3272	CORT1D01490	CORT0D01490	LELG_03562	DEHA2C03718g	PICST_30815	CANTEDRAFT_130813	SPAPADRAFT_55850	PGUG_05806	---	B9J08_001936	YOR378W
---	---	---	---	---	---	---	---	---	---	DEHA2G11319g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G11341g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G11473g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G11539g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G11594g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G11601g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G11627g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G11649g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G11660g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G11990g	PICST_33983	CANTEDRAFT_116359	SPAPADRAFT_144601	---	---	---	---
orf19.2347	CAWG_00360	CD36_10050	CTRG1_03276	CTRG_03276	CPAR2_202770	CMET_3402	CORT1D02850	CORT0D02850	LELG_03406	DEHA2C03696g	PICST_30814	CANTEDRAFT_113622	SPAPADRAFT_71814	PGUG_05807	CLUG_01364	B9J08_001935	---
---	---	---	---	---	---	---	---	---	---	DEHA2G12012g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G12507g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G12760g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G12848g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G14498g	---	---	---	---	---	---	YDR446W
---	---	---	---	---	---	---	---	---	---	DEHA2G14740g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G14828g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G14850g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G14916g	PICST_41766	CANTEDRAFT_101350	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G15664g	---	---	---	---	---	---	---
orf19.2346	CAWG_00359	CD36_10060	CTRG1_03275	CTRG_03275	CPAR2_202760	CMET_3401	CORT1D02840	CORT0D02840	LELG_03405	DEHA2C03652g	PICST_43698	CANTEDRAFT_126711	SPAPADRAFT_139014	PGUG_05808	CLUG_02046	B9J08_001933	YPL222W
---	---	---	---	---	---	---	---	---	---	DEHA2G16093g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G16192g	---	CANTEDRAFT_132971	---	PGUG_04479	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G16467g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G17556g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G18722g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G19404g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G19426g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G19448g	PICST_83008	CANTEDRAFT_132762	---	PGUG_03287	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G19492g	PICST_35359	CANTEDRAFT_112230	SPAPADRAFT_63627	PGUG_03285	---	---	YGL196W
---	---	---	---	---	---	---	---	---	---	DEHA2G19514g	PICST_35358	CANTEDRAFT_112231	---	PGUG_03282	CLUG_05617	---	---
orf19.3295	CAWG_01267	CD36_01010	CTRG1_04408	CTRG_04408	CPAR2_110120	CMET_107	CORT1B11230	CORT0B11230	LELG_01383	DEHA2D14520g	PICST_28281	CANTEDRAFT_134584	SPAPADRAFT_47807	PGUG_00532	CLUG_01436	B9J08_003398	---
orf19.2344	CAWG_00358	CD36_10070	CTRG1_03258	CTRG_03258	CPAR2_201810	CMET_3309	CORT1D01870	CORT0D01870	LELG_03517	DEHA2C03630g	---	CANTEDRAFT_95453	---	PGUG_05809	CLUG_02044	B9J08_001932	---
---	---	---	---	---	---	---	---	---	---	DEHA2G19536g	PICST_67179	CANTEDRAFT_117474	SPAPADRAFT_73433	PGUG_03281	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G19558g	psti_CGOB_00133	CANTEDRAFT_100790	---	cgui_CGOB_00003	CLUG_04468	---	YER057C
---	---	---	---	---	---	---	---	---	---	DEHA2G19580g	PICST_57264	CANTEDRAFT_112234	---	PGUG_03280	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G19624g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G20658g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G20834g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G20878g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G21604g	---	---	---	PGUG_02516	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G21670g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G21692g	---	---	---	---	---	---	---
orf19.2343.1	wo-1_CGOB_00075	CD36_10080	CTRG1_CGOB_00090	ctro_CGOB_00090	CPAR2_212610	---	CORT1A11930	CORT0A11930	---	DEHA2G11682g	PICST_39176	CANTEDRAFT_116371	SPAPADRAFT_58495	---	clus_CGOB_00043	B9J08_001360	YCL005W-A
---	---	---	---	---	---	---	---	---	---	DEHA2G21868g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G21890g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G21912g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G21934g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G22462g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G22484g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G22506g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G22616g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G22748g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2G22836g	---	---	---	---	---	---	---
