# File name: C_albicans_SC5314_C_auris_B8441_orthologs.txt
# Organism: Candida albicans SC5314
# Genome version: A22-s07-m01-r90
# Date created: Fri Aug 23 04:39:02 2019
# Created by: The Candida Genome Database (http://www.candidagenome.org/)
# Contact Email: candida-curator AT lists DOT stanford DOT edu
# Funding: NIDCR at US NIH, grant number 1-R01-DE015873-01
#
C2_09060C_A	ASN1	CAL0000188342	B9J08_002429		CAL0000216591
C1_11410C_A		CAL0000188749	B9J08_001472		CAL0000217289
CR_00370W_A		CAL0000197877	B9J08_004782		CAL0000217359
C2_07610C_A		CAL0000201920	B9J08_001152		CAL0000217245
C3_04210W_A		CAL0000182535	B9J08_001714		CAL0000217299
CR_01610C_A	SHP1	CAL0000179235	B9J08_000381		CAL0000217301
C4_00470C_A		CAL0000197496	B9J08_003522		CAL0000217309
C5_00370W_A	COF1	CAL0000176762	B9J08_001311		CAL0000217513
C1_01450W_A	ABC1	CAL0000176669	B9J08_000189		CAL0000217527
CR_01240C_A	BOI2	CAL0000197750	B9J08_005346		CAL0000217539
C3_00810C_A	FOX2	CAL0000176075	B9J08_002847		CAL0000217547
CR_04260W_A	SNP3	CAL0000178800	B9J08_005486		CAL0000217565
C2_10660W_A	ASH1	CAL0000186708	B9J08_003579		CAL0000217575
C3_06150W_A		CAL0000175561	B9J08_004624		CAL0000218811
C7_03020C_A	DUG3	CAL0000185194	B9J08_000732		CAL0000218833
CR_02200C_A	RAD51	CAL0000180182	B9J08_001108		CAL0000219475
C4_06400C_A	VMA8	CAL0000187911	B9J08_000506		CAL0000220093
C1_07220W_A		CAL0000192240	B9J08_004053		CAL0000220101
C2_09460C_A	RHA1	CAL0000183461	B9J08_000095		CAL0000220147
C2_09930W_A		CAL0000174689	B9J08_004794		CAL0000217601
CR_09240C_A		CAL0000185958	B9J08_004506		CAL0000217611
C1_02610W_A	IML1	CAL0000199259	B9J08_000056		CAL0000217623
C3_07940W_A		CAL0000197659	B9J08_005160		CAL0000217653
C1_08580C_A	VCX1	CAL0000184577	B9J08_000262		CAL0000217663
CR_00110W_A		CAL0000188301	B9J08_002680		CAL0000219923
C2_04710C_A	URE2	CAL0000198677	B9J08_001170		CAL0000220167
C1_00610W_A	PSD1	CAL0000188438	B9J08_003240		CAL0000220191
C1_06650W_A	NAA20	CAL0000187951	B9J08_001110		CAL0000220215
C3_05430W_A		CAL0000183597	B9J08_002446		CAL0000220259
C4_00670W_A	TOK1	CAL0000198370	B9J08_003529		CAL0000220267
C4_02270C_A	BFR1	CAL0000184526	B9J08_001420		CAL0000220311
C1_00100C_A		CAL0000197186	B9J08_001267		CAL0000220329
C7_00060C_A		CAL0000185135	B9J08_001345		CAL0000217715
CR_01040C_A	ARC19	CAL0000200234	B9J08_003478		CAL0000217717
C3_07370W_A		CAL0000177348	B9J08_001882		CAL0000218497
C4_02450W_A		CAL0000191543	B9J08_001408		CAL0000218521
C1_09650W_A		CAL0000188209	B9J08_000316		CAL0000218693
C1_01520C_A	SOD2	CAL0000191321	B9J08_000528		CAL0000220383
CR_01370C_A		CAL0000201890	B9J08_002473		CAL0000220389
C2_06130W_A	CSM3	CAL0000183710	B9J08_001220		CAL0000220427
C2_06800C_A		CAL0000193646	B9J08_000065		CAL0000220489
CR_07590W_A	EMP24	CAL0000201551	B9J08_000459		CAL0000220911
C2_06350C_A		CAL0000180732	B9J08_005516		CAL0000220919
C1_12250C_A		CAL0000175090	B9J08_003931		CAL0000220979
C6_02920C_A	VPS51	CAL0000189610	B9J08_003140		CAL0000220991
C3_07600W_A		CAL0000193391	B9J08_001753		CAL0000220997
C2_05460W_A	CDC19	CAL0000192883	B9J08_003632		CAL0000221017
CR_06440C_A	BCR1	CAL0000177853	B9J08_003985		CAL0000221021
CR_00060C_A		CAL0000174602	B9J08_002675		CAL0000221023
C2_05970C_A	TES1	CAL0000182171	B9J08_003186		CAL0000221031
C1_05170C_A	CUE5	CAL0000199921	B9J08_002526		CAL0000221043
C6_01110W_A	FAD2	CAL0000180146	B9J08_004590		CAL0000221073
C2_09040W_A		CAL0000175065	B9J08_002426		CAL0000221083
C1_04490W_A		CAL0000188737	B9J08_001735		CAL0000221131
C7_03490W_A	GYP7	CAL0000185635	B9J08_003796		CAL0000223889
C2_05940C_A	VPS33	CAL0000186305	B9J08_003184		CAL0000224605
C1_04410C_A	ESS1	CAL0000196636	B9J08_000025		CAL0000224609
C4_05610C_A		CAL0000187447	B9J08_005036		CAL0000224619
C4_00260W_A		CAL0000199580	B9J08_003509		CAL0000224673
C1_03180W_A		CAL0000185298	B9J08_000622		CAL0000224681
C2_02200W_A	ZRC1	CAL0000192596	B9J08_001183		CAL0000224691
C2_03870W_A	GNA1	CAL0000198802	B9J08_005328		CAL0000224695
CR_09800C_A		CAL0000180872	B9J08_004502		CAL0000224701
C4_03380C_A	DAO2	CAL0000176728	B9J08_005061		CAL0000224707
C1_05110C_A	ARO4	CAL0000182853	B9J08_003882		CAL0000224733
C3_03850C_A	SOL1	CAL0000186539	B9J08_003818		CAL0000224741
C5_01430C_A		CAL0000195799	B9J08_002054		CAL0000224747
C5_02790C_A	GAP1	CAL0000177621	B9J08_001672		CAL0000224767
C1_07080W_A		CAL0000176156	B9J08_002285		CAL0000224779
C5_05130C_A		CAL0000200133	B9J08_003764		CAL0000224801
CR_10410C_A		CAL0000173996	B9J08_000537		CAL0000224853
C2_00320W_A		CAL0000180884	B9J08_001650		CAL0000224871
C7_00990W_A	RPP0	CAL0000189629	B9J08_000711		CAL0000224929
C1_11910W_A		CAL0000198679	B9J08_004054		CAL0000224975
C1_08110W_A		CAL0000200179	B9J08_004232		CAL0000224989
C2_01660C_A		CAL0000177781	B9J08_000147		CAL0000225039
C6_03430C_A		CAL0000184041	B9J08_005274		CAL0000225057
C2_08510W_A		CAL0000195938	B9J08_004017		CAL0000218835
C1_02750C_A		CAL0000192923	B9J08_002595		CAL0000218843
CR_00310C_A		CAL0000193859	B9J08_000030		CAL0000218855
C5_01810W_A	FCR3	CAL0000185980	B9J08_004822		CAL0000218859
CR_10770W_A		CAL0000177995	B9J08_004690		CAL0000218907
C1_05410C_A	TRP99	CAL0000177771	B9J08_004518		CAL0000218909
C5_04680W_A	PSD2	CAL0000195449	B9J08_004295		CAL0000218959
C1_14110C_A	RPL4B	CAL0000176632	B9J08_003313		CAL0000218983
C1_09350W_A		CAL0000199949	B9J08_002307		CAL0000218989
C5_03630C_A		CAL0000194513	B9J08_000456		CAL0000218991
C2_06620W_A		CAL0000179931	B9J08_003536		CAL0000219001
C2_02350C_A	SAC3	CAL0000199902	B9J08_003648		CAL0000219035
C3_02270W_A		CAL0000191311	B9J08_002633		CAL0000219045
CR_01620C_A	MET6	CAL0000186137	B9J08_000382		CAL0000219065
C2_00150W_A	LEU5	CAL0000199235	B9J08_000390		CAL0000219067
C1_03330C_A		CAL0000201683	B9J08_000779		CAL0000219077
C1_12120W_A		CAL0000181204	B9J08_001726		CAL0000219115
CR_10480W_A	PGA1	CAL0000175225	B9J08_001242		CAL0000219119
C1_08640W_A	RTG1	CAL0000175785	B9J08_002915		CAL0000219163
CR_03560W_A		CAL0000183872	B9J08_002645		CAL0000219167
C1_04620W_A		CAL0000194556	B9J08_000021		CAL0000219181
CR_06660W_A	SEO1	CAL0000177585	B9J08_001070		CAL0000219219
C1_04300C_A	SSA2	CAL0000184853	B9J08_003364		CAL0000219251
C2_06480W_A		CAL0000179584	B9J08_003890		CAL0000219261
CR_08420W_A		CAL0000183386	B9J08_000122		CAL0000220463
C2_10050W_A		CAL0000182786	B9J08_003800		CAL0000224941
C4_02860W_A		CAL0000177434	B9J08_001386		CAL0000225063
C2_09650W_A		CAL0000183410	B9J08_002393		CAL0000225071
C2_01490C_A		CAL0000176995	B9J08_003862		CAL0000219043
C7_04170W_A		CAL0000192406	B9J08_004929		CAL0000219197
CR_05770W_A		CAL0000188344	B9J08_001700		CAL0000225105
C1_07420C_A	PEX3	CAL0000196480	B9J08_001615		CAL0000225109
C2_04230W_A	BAT21	CAL0000175657	B9J08_002453		CAL0000225117
C2_03550C_A		CAL0000178928	B9J08_004268		CAL0000225151
C1_13330C_A		CAL0000192204	B9J08_003965		CAL0000225167
C1_05370C_A		CAL0000176582	B9J08_004522		CAL0000225313
C4_00320C_A		CAL0000180312	B9J08_003458		CAL0000225333
C1_08910C_A		CAL0000190673	B9J08_004186		CAL0000225381
C4_02880C_A		CAL0000178770	B9J08_001384		CAL0000225399
CR_05010W_A		CAL0000183527	B9J08_002671		CAL0000225411
C6_04350C_A	FLO8	CAL0000178880	B9J08_000401		CAL0000227557
C5_02110W_A		CAL0000180850	B9J08_001940		CAL0000216083
C7_00580C_A		CAL0000181218	B9J08_001160		CAL0000216089
C2_06150C_A	RPN10	CAL0000186311	B9J08_001222		CAL0000216159
C5_02000C_A	ACH1	CAL0000189008	B9J08_004702		CAL0000216195
C2_09600C_A		CAL0000181446	B9J08_003805		CAL0000216197
C3_01320C_A	SGA1	CAL0000178932	B9J08_000365		CAL0000216207
C2_01090C_A	ERG28	CAL0000184284	B9J08_002817		CAL0000216227
C6_03100W_A	SHE3	CAL0000196918	B9J08_002517		CAL0000216269
CR_00070W_A	BNR1	CAL0000190952	B9J08_002676		CAL0000216275
C5_03120W_A		CAL0000179975	B9J08_004071		CAL0000216319
C3_06120C_A	GDA1	CAL0000196532	B9J08_002126		CAL0000216363
C1_05220C_A		CAL0000185681	B9J08_001336		CAL0000216367
CR_04090C_A	ADE17	CAL0000191899	B9J08_001850		CAL0000216391
C1_14090W_A		CAL0000182181	B9J08_002967		CAL0000216393
C3_01140W_A		CAL0000202048	B9J08_002360		CAL0000225181
C1_10840C_A		CAL0000178416	B9J08_000253		CAL0000228085
C2_00960C_A	MXR1	CAL0000176448	B9J08_003339		CAL0000217823
CR_10360C_A	CTM1	CAL0000189202	B9J08_000544		CAL0000217879
C7_03940C_A	CLB4	CAL0000175354	B9J08_004162		CAL0000217903
C1_08420W_A	GCR3	CAL0000190077	B9J08_000819		CAL0000217955
C6_02230W_A		CAL0000183488	B9J08_002009		CAL0000217957
C6_04590C_A	NAG1	CAL0000199480	B9J08_003837		CAL0000217961
CR_09180W_A	CDG1	CAL0000188872	B9J08_003702		CAL0000217973
C1_11970C_A		CAL0000194989	B9J08_002727		CAL0000217993
CR_09560C_A		CAL0000197115	B9J08_001657		CAL0000218021
C3_02140C_A		CAL0000193825	B9J08_005339		CAL0000218033
CR_08080W_A		CAL0000187297	B9J08_000101		CAL0000218047
C2_10280C_A	SPT23	CAL0000198959	B9J08_004000		CAL0000218083
CR_10750C_A		CAL0000178206	B9J08_001263		CAL0000218093
C7_03070C_A	CYR1	CAL0000178292	B9J08_004540		CAL0000218097
CR_06150C_A	ADE13	CAL0000175023	B9J08_000800		CAL0000218121
CR_07790C_A	YHB1	CAL0000179202	B9J08_002691		CAL0000218139
C1_11690W_A		CAL0000193023	B9J08_000967		CAL0000218145
CR_05520W_A	NOC2	CAL0000192871	B9J08_005106		CAL0000218147
C3_06410C_A		CAL0000200587	B9J08_000047		CAL0000218151
C7_04100C_A	MED9	CAL0000183091	B9J08_004924		CAL0000218157
C4_04910C_A	SPC34	CAL0000192348	B9J08_002720		CAL0000218201
C2_01000W_A	HGT7	CAL0000198671	B9J08_004797		CAL0000218207
C2_01200C_A	REG1	CAL0000198429	B9J08_003195		CAL0000218231
C4_04210C_A	SOH1	CAL0000190883	B9J08_005203		CAL0000218305
C1_06070W_A		CAL0000176693	B9J08_001822		CAL0000218335
C5_01250W_A	GPR1	CAL0000183307	B9J08_002066		CAL0000218355
C4_00200C_A	MET15	CAL0000188058	B9J08_003514		CAL0000218367
C1_05520W_A		CAL0000188506	B9J08_003694		CAL0000218391
C3_07230W_A		CAL0000194034	B9J08_004766		CAL0000218423
C5_01890W_A		CAL0000178474	B9J08_004817		CAL0000218433
C2_01720C_A		CAL0000199281	B9J08_000154		CAL0000218449
C1_03680W_A	ENG1	CAL0000184614	B9J08_002109		CAL0000218471
C4_05180C_A		CAL0000193782	B9J08_004611		CAL0000218473
C7_02200W_A	WHI3	CAL0000182709	B9J08_004676		CAL0000218483
C1_12730W_A	RVS162	CAL0000191779	B9J08_003947		CAL0000218525
C4_04900W_A	RPL30	CAL0000189848	B9J08_002719		CAL0000218531
C1_09030C_A	COX5	CAL0000179426	B9J08_000339		CAL0000218535
CR_03650W_A	SGD1	CAL0000199737	B9J08_004851		CAL0000218539
C3_03300C_A		CAL0000178990	B9J08_000194		CAL0000218603
C6_02020C_A		CAL0000193515	B9J08_003683		CAL0000221321
C1_02320C_A		CAL0000179837	B9J08_000954		CAL0000221327
C7_02950C_A	DBF4	CAL0000174858	B9J08_001562		CAL0000221381
CR_00700W_A		CAL0000199521	B9J08_002156		CAL0000222983
CR_06750C_A	PUP2	CAL0000186757	B9J08_005129		CAL0000222987
C5_03870C_A		CAL0000183467	B9J08_000671		CAL0000223009
C4_02940W_A	ABP1	CAL0000190151	B9J08_001416		CAL0000223019
C2_00200W_A		CAL0000183835	B9J08_000135		CAL0000223021
C7_03000C_A		CAL0000185233	B9J08_000734		CAL0000223027
C2_06080C_A		CAL0000178410	B9J08_000827		CAL0000223045
CR_00430C_A		CAL0000192500	B9J08_000747		CAL0000223051
C1_04100C_A	POR1	CAL0000182381	B9J08_005138		CAL0000223065
C6_00760W_A		CAL0000195916	B9J08_001859		CAL0000221451
C2_10240W_A	GPD1	CAL0000200026	B9J08_003449		CAL0000221455
C1_00860W_A		CAL0000193447	B9J08_004939		CAL0000221471
C5_01830C_A	HAL9	CAL0000182921	B9J08_004820		CAL0000221493
C1_08290C_A	DIP2	CAL0000188650	B9J08_003620		CAL0000223085
C1_02970W_A		CAL0000174976	B9J08_003252		CAL0000223123
C1_11940C_A		CAL0000197214	B9J08_001718		CAL0000223143
C2_08590W_A	YWP1	CAL0000183265	B9J08_003550		CAL0000223147
C4_03540C_A	ECM38	CAL0000189923	B9J08_004466		CAL0000223149
C1_03340C_A	SEC62	CAL0000199574	B9J08_000778		CAL0000223151
C7_03700C_A	ENP1	CAL0000201090	B9J08_003872		CAL0000223163
CR_03640C_A		CAL0000199466	B9J08_004850		CAL0000223169
C2_06200C_A		CAL0000194371	B9J08_003104		CAL0000223181
C5_02450W_A		CAL0000195638	B9J08_004405		CAL0000221563
C2_04180C_A		CAL0000181180	B9J08_000864		CAL0000221567
C1_05990C_A		CAL0000195493	B9J08_001828		CAL0000221595
C5_00070W_A	CDC11	CAL0000177264	B9J08_004605		CAL0000221607
C4_03320W_A		CAL0000190958	B9J08_004708		CAL0000223191
C5_03390C_A	FUR1	CAL0000201707	B9J08_004076		CAL0000223195
C3_00260C_A	BNA4	CAL0000200704	B9J08_005022		CAL0000223207
C2_07320W_A	ARP3	CAL0000184019	B9J08_001137		CAL0000221619
C1_05160C_A		CAL0000182007	B9J08_002530		CAL0000221639
C2_01550W_A	SMP2	CAL0000195424	B9J08_003050		CAL0000221643
C1_03490W_A		CAL0000187271	B9J08_003666		CAL0000221675
C5_00480C_A	SEC14	CAL0000199482	B9J08_000444		CAL0000221681
C7_03500W_A		CAL0000197448	B9J08_003797		CAL0000221687
C2_10120W_A		CAL0000200486	B9J08_003806		CAL0000221733
C1_03140W_A		CAL0000192366	B9J08_000617		CAL0000221739
C4_02400C_A		CAL0000190266	B9J08_001412		CAL0000221767
CR_01560W_A		CAL0000188136	B9J08_003507		CAL0000221791
C2_04310W_A	ERG10	CAL0000184591	B9J08_003730		CAL0000221817
C1_10750C_A		CAL0000188556	B9J08_001360		CAL0000221831
C1_04810W_A	TCO89	CAL0000194863	B9J08_000726		CAL0000221849
CR_05200C_A		CAL0000193119	B9J08_000375		CAL0000221877
C2_08720W_A		CAL0000185104	B9J08_005192		CAL0000221907
C1_00620W_A	MOB2	CAL0000186024	B9J08_003241		CAL0000221917
CR_09380W_A	PRE8	CAL0000197498	B9J08_004503		CAL0000219317
CR_08460W_A	TPM2	CAL0000199107	B9J08_002608		CAL0000219343
C4_01090C_A		CAL0000187774	B9J08_002662		CAL0000219355
C6_00930C_A		CAL0000191559	B9J08_003419		CAL0000221971
C4_05100C_A	MYO5	CAL0000199209	B9J08_005213		CAL0000221979
C1_03150C_A		CAL0000196224	B9J08_002035		CAL0000222025
C7_00970C_A	YOX1	CAL0000194042	B9J08_002326		CAL0000219375
C5_02750C_A		CAL0000181007	B9J08_001093		CAL0000219401
C6_00570C_A	NHX1	CAL0000198193	B9J08_004593		CAL0000219415
C1_03430W_A		CAL0000181663	B9J08_001280		CAL0000219417
C1_10400C_A	FGR41	CAL0000194403	B9J08_000824		CAL0000219463
C2_01830W_A	PRP39	CAL0000200082	B9J08_000161		CAL0000222085
C5_04800W_A	CRH12	CAL0000195515	B9J08_004308		CAL0000222091
C6_03810W_A		CAL0000183853	B9J08_001126		CAL0000222093
C7_01690W_A		CAL0000199667	B9J08_004160		CAL0000222099
C1_14350W_A		CAL0000174216	B9J08_003066		CAL0000219473
C2_07030C_A		CAL0000193465	B9J08_002802		CAL0000219491
C4_05740C_A		CAL0000180055	B9J08_004875		CAL0000219497
C5_05160C_A	CNB1	CAL0000193366	B9J08_001732		CAL0000219519
C2_01340W_A		CAL0000181534	B9J08_003850		CAL0000219533
C1_01560W_A	SIZ1	CAL0000196444	B9J08_001048		CAL0000219535
C3_01300C_A	NCE103	CAL0000198627	B9J08_000363		CAL0000219545
C1_04840C_A		CAL0000180993	B9J08_004488		CAL0000219561
C4_03840C_A	RRP42	CAL0000183621	B9J08_000311		CAL0000222205
C3_07790W_A	STD1	CAL0000182240	B9J08_000972		CAL0000222207
C4_00880W_A		CAL0000199196	B9J08_002044		CAL0000222209
C5_01000C_A		CAL0000181436	B9J08_002811		CAL0000222211
C2_08810C_A	IPP1	CAL0000192002	B9J08_000498		CAL0000222221
C1_00910W_A	TRI1	CAL0000179780	B9J08_003428		CAL0000222225
C5_00800C_A		CAL0000194280	B9J08_000789		CAL0000219615
C5_00490C_A	BUD2	CAL0000199838	B9J08_000443		CAL0000219635
C2_06910W_A	YPT72	CAL0000178686	B9J08_004581		CAL0000219655
C2_10710W_A	TIF11	CAL0000199255	B9J08_001871		CAL0000222245
C4_03810W_A		CAL0000183168	B9J08_000314		CAL0000222253
C3_05680W_A		CAL0000184069	B9J08_004973		CAL0000222281
C3_05900W_A		CAL0000174498	B9J08_004060		CAL0000222335
C1_02930C_A	MST1	CAL0000183181	B9J08_003256		CAL0000222337
C3_04590W_A		CAL0000200451	B9J08_003956		CAL0000222339
C2_05440W_A	PEX6	CAL0000179650	B9J08_003633		CAL0000219687
C3_01960C_A	POX1-3	CAL0000183638	B9J08_001740		CAL0000219777
C4_07240W_A		CAL0000186726	B9J08_000840		CAL0000219783
CR_05660W_A	SDA1	CAL0000201072	B9J08_005120		CAL0000222359
C7_01370W_A		CAL0000199202	B9J08_005470		CAL0000222361
C5_00590W_A	PET9	CAL0000182397	B9J08_000434		CAL0000222381
C1_03160C_A	COQ4	CAL0000193093	B9J08_000619		CAL0000222409
C3_04620C_A		CAL0000201811	B9J08_003958		CAL0000222425
C7_03990C_A		CAL0000185454	B9J08_000278		CAL0000219795
C1_14400C_A	MLH3	CAL0000176790	B9J08_003189		CAL0000219815
C2_02250C_A	OPI1	CAL0000184732	B9J08_001181		CAL0000219839
C4_01880W_A	TYR1	CAL0000201106	B9J08_001388		CAL0000219849
C1_06740C_A	NOP6	CAL0000191755	B9J08_003600		CAL0000219859
C5_03920C_A		CAL0000182246	B9J08_000673		CAL0000219875
C3_04400C_A	NUP85	CAL0000195620	B9J08_005508		CAL0000219895
C7_01460C_A		CAL0000191721	B9J08_003434		CAL0000222459
C2_07200W_A		CAL0000191376	B9J08_002787		CAL0000222465
C3_03090W_A	USO5	CAL0000190149	B9J08_001321		CAL0000222487
C2_04680W_A	TIM17	CAL0000179179	B9J08_003133		CAL0000222497
C4_00340W_A	PTC7	CAL0000199113	B9J08_004267		CAL0000222503
CR_05650W_A	BRF1	CAL0000177227	B9J08_005119		CAL0000222511
C1_14300C_A	NCR1	CAL0000182780	B9J08_002105		CAL0000222533
C7_04040C_A	NPT1	CAL0000174810	B9J08_001991		CAL0000219939
C4_02420C_A		CAL0000185478	B9J08_001411		CAL0000219991
C7_01200C_A	DBP7	CAL0000199731	B9J08_000720		CAL0000219997
C1_01260C_A	TRS20	CAL0000197935	B9J08_002014		CAL0000222565
C1_12780W_A	RBK1	CAL0000181468	B9J08_003943		CAL0000222567
C4_02130W_A	CYT2	CAL0000186461	B9J08_001393		CAL0000222585
C1_05020C_A	ARG2	CAL0000184037	B9J08_003881		CAL0000222599
C7_03770C_A	YAF9	CAL0000173992	B9J08_004733		CAL0000222623
C2_00240C_A	SOD6	CAL0000199539	B9J08_001640		CAL0000222627
C3_07760C_A		CAL0000198949	B9J08_000792		CAL0000222661
CR_03500W_A	CIT1	CAL0000197786	B9J08_002652		CAL0000220031
CR_07150W_A	GLK1	CAL0000189805	B9J08_005226		CAL0000220721
C1_05390C_A		CAL0000174918	B9J08_004520		CAL0000222747
C1_10310W_A		CAL0000179945	B9J08_002892		CAL0000222759
C1_03030W_A	RPS16A	CAL0000175363	B9J08_003248		CAL0000220747
C3_07420W_A		CAL0000188406	B9J08_001877		CAL0000220751
CR_07230W_A		CAL0000184636	B9J08_002221		CAL0000220757
CR_06240C_A	ZCF19	CAL0000179648	B9J08_000805		CAL0000220759
C5_04740C_A	HYS2	CAL0000186510	B9J08_004301		CAL0000220763
C1_04680W_A	PIL1	CAL0000179346	B9J08_002459		CAL0000221189
C4_00350W_A	PEP7	CAL0000199939	B9J08_004265		CAL0000221191
C1_11510C_A		CAL0000198782	B9J08_003839		CAL0000222767
C1_04760C_A	SYG1	CAL0000192165	B9J08_000016		CAL0000222777
C1_03200C_A	ARO80	CAL0000193732	B9J08_002324		CAL0000222817
C1_11500C_A	ARO7	CAL0000179531	B9J08_003840		CAL0000222821
C2_01390W_A		CAL0000186455	B9J08_003854		CAL0000222823
C1_12270W_A	SRT1	CAL0000195761	B9J08_003932		CAL0000222845
C1_01270W_A	CTA9	CAL0000188386	B9J08_002015		CAL0000221209
C6_00990W_A	RIM9	CAL0000199348	B9J08_001112		CAL0000221225
C1_10830W_A	BIG1	CAL0000189708	B9J08_000252		CAL0000221289
C6_04570W_A	NAG6	CAL0000187915	B9J08_003835		CAL0000221305
CR_01310W_A	ATP3	CAL0000177710	B9J08_005349		CAL0000222883
C5_00150C_A		CAL0000179212	B9J08_004529		CAL0000222889
C3_03680W_A		CAL0000198326	B9J08_002005		CAL0000222915
C1_02720W_A		CAL0000187437	B9J08_000974		CAL0000222937
C2_05350C_A		CAL0000193694	B9J08_005009		CAL0000222967
C2_00840W_A		CAL0000175936	B9J08_003329		CAL0000226925
C1_05680C_A	RIM1	CAL0000182022	B9J08_005089		CAL0000226943
C3_03510C_A		CAL0000196811	B9J08_002267		CAL0000226961
C1_04180W_A		CAL0000199081	B9J08_005145		CAL0000226973
CR_06860C_A	ARO10	CAL0000184409	B9J08_004930		CAL0000226979
C6_02180W_A		CAL0000186105	B9J08_000551		CAL0000226993
C5_00100C_A		CAL0000199340	B9J08_002777		CAL0000227037
C1_14440C_A	GDI1	CAL0000192989	B9J08_005447		CAL0000227071
C1_00710C_A	TUB2	CAL0000176403	B9J08_003245		CAL0000227127
C1_13470W_A	KNS1	CAL0000194707	B9J08_004639		CAL0000227139
